@relation 'teste 02-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
-200,854,-200,3.8,700,98,980,56,1151,665,17,52.3,10009
2.6,1292,-200,10.7,1003,170,789,108,1753,1163,19.9,54.9,12632
0.7,839,-200,4.8,752,52,1102,64,1298,515,37.9,12.7,0.8211
1.5,1010,-200,6.5,836,66,848,79,1577,616,31.1,38.8,17295
3.8,1310,-200,21.4,1334,617,573,174,1747,1633,22.4,38.8,1.04
1.2,-200,-200,-200,-200,53,-200,64,-200,-200,-200,-200,-200
-200,1087,-200,12.2,1055,-200,908,-200,1562,818,28,21,0.7814
0.6,738,-200,1.3,529,100,1991,59,876,383,9.6,44.2,0.5289
0.7,815,-200,2.6,627,27,1049,36,1518,650,23.4,61.7,17495
1.9,1121,-200,10.4,992,126,844,115,1505,1255,20.4,35.3,0.8352
0.9,858,-200,1.6,554,60,1207,45,1047,663,11.2,69,0.9159
0.7,841,-200,3.3,673,40,1061,56,1394,451,33.6,28.8,14695
0.7,879,-200,5.6,792,59,906,57,1521,825,21.1,47.3,11654
-200,1010,-200,8.1,902,59,966,44,1676,724,28.9,35.7,13985
3.8,1416,-200,21.5,1339,165,544,163,1998,1492,36.1,25.5,14949
4.6,1467,-200,26.9,1477,483,491,153,2114,1592,25.4,48.7,15594
2.7,1342,202,13.7,1106,156,694,102,1856,1443,17.8,61,12352
-200,944,-200,8.3,910,-200,828,-200,1342,777,22,38.9,10154
1.1,958,-200,8.7,928,351,841,174,986,1120,13.3,24.3,0.3686
-200,1118,-200,13,1084,104,684,127,1723,838,38.2,21.8,14312
2.6,1299,-200,17.5,1225,179,620,102,2077,1327,25.7,49.7,1615
0.8,831,-200,3.4,679,37,1143,60,1291,526,33.8,21.9,11303
-200,763,-200,2.5,622,37,1129,58,1321,689,21.2,39.4,0.9802
1.2,988,-200,5.9,806,87,951,68,1568,940,16,61.6,11083
1.7,-200,-200,-200,-200,111,-200,83,-200,-200,-200,-200,-200
2.2,1161,-200,12.7,1074,128,646,95,1777,1206,36.5,28.9,17359
5,1584,-200,32,1597,666,392,125,2176,1845,21.6,62,15784
-200,860,-200,2.7,632,-200,1037,-200,1322,713,17.8,72.3,14546
-200,1045,-200,9.6,964,-200,666,-200,1554,1140,26.4,44,14919
5.1,1512,802,27.1,1482,308,596,118,2189,1605,9.9,64.3,0.7859
2.3,1220,-200,13.6,1105,116,643,100,1838,1318,30.4,35.4,15144
1.1,1030,95,7.5,880,76,892,69,1539,996,13.9,60.7,0.9597
0.9,914,-200,5.8,801,42,965,57,1609,908,22.3,50.6,13486
-200,715,-200,2.1,589,-200,1286,-200,1127,390,35.1,15.7,0.8757
-200,1015,-200,6.6,839,99,754,59,1473,970,21.4,69.3,17515
-200,1359,-200,16.5,1195,-200,542,-200,1784,1376,26.8,44.6,15467
-200,1150,-200,15,1149,-200,620,-200,1676,1113,22.7,47.6,12989
0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58,0.8026
-200,1043,-200,12.1,1053,-200,707,-200,1514,959,20.5,46,1.1
2.3,1167,-200,8.4,914,105,876,99,1599,1126,17.2,59.3,11551
0.9,954,-200,7.5,879,78,837,82,1550,834,21.6,44,11244
-200,1105,-200,10.6,1000,-200,847,-200,1573,1208,19.2,42.1,0.9273
2.7,1106,-200,14.2,1122,202,783,115,1813,1202,25.5,34.1,10968
0.9,940,-200,5.9,806,181,800,48,1392,1013,16.2,76.9,14029
1.7,981,-200,10.2,985,99,779,97,1572,1020,24.3,36.3,10852
3.6,1512,-200,19.5,1282,450,498,95,1899,1554,26,48.2,1598
-200,933,-200,9.5,960,-200,994,-200,1577,726,27,27.8,0.9731
4.6,1442,669,21.5,1337,243,630,134,2004,1523,15.3,46.8,0.8074
-200,911,-200,4.5,740,-200,1071,-200,1412,756,14.2,56.7,0.9111
1.6,1047,-200,8.2,908,119,913,89,1458,981,19.2,35.4,0.7812
