Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
24/05/2004,08.00.00,2,970,-200,9.7,966,118,944,81,1379,907,18.4,24,0.5046
22/06/2004,05.00.00,0.3,757,-200,2.2,596,30,1236,37,1381,560,19,52.8,11489
08/09/2004,16.00.00,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
15/04/2004,03.00.00,-200,889,-200,1.7,559,-200,1331,-200,1241,714,10.2,63.2,0.7865
11/06/2004,00.00.00,1.5,1018,-200,10.4,992,102,839,96,1710,1103,24.7,39.3,12065
27/11/2004,06.00.00,1.7,1197,-200,7.6,881,320,820,99,1295,1173,12.3,81.9,11674
16/10/2004,15.00.00,-200,891,-200,5.5,789,-200,960,-200,1234,522,21.6,35.9,0.9164
11/10/2004,03.00.00,0.4,828,-200,1.7,558,-200,1166,-200,1304,494,18.8,73.8,15885
07/05/2004,13.00.00,2.2,926,-200,10.9,1010,132,904,110,1526,720,19.7,28.5,0.6445
25/11/2004,18.00.00,4.5,1368,-200,21.4,1334,660,529,173,1547,1653,13.8,48.9,0.7699
07/10/2004,07.00.00,-200,1468,-200,19.4,1280,-200,518,-200,1899,1423,19.7,66.4,15035
08/06/2004,17.00.00,3.5,1220,-200,21.4,1334,176,695,183,2066,1215,36.6,20.6,12445
24/04/2004,16.00.00,1.9,1278,205,10.7,1003,99,845,95,1691,909,27,31.8,11176
19/04/2004,04.00.00,-200,885,-200,2.1,589,-200,1238,-200,1443,635,13,78.2,11664
22/08/2004,23.00.00,-200,902,-200,5.5,790,-200,856,-200,1428,799,24.7,41.6,12751
04/06/2004,18.00.00,3.3,1097,-200,16.9,1206,-200,813,-200,1867,1088,26.5,29.7,10123
18/09/2004,20.00.00,2,1040,-200,9.2,946,234,827,116,1424,952,24.7,37.1,11397
15/11/2004,07.00.00,0.7,767,-200,2,588,181,1292,94,885,508,10.5,37,0.4707
21/06/2004,21.00.00,2.1,1007,-200,11.4,1027,114,798,112,1737,904,23.1,41.5,11582
27/03/2004,03.00.00,1.1,1026,59,3.8,699,-200,1191,-200,1292,851,7.9,63.5,0.6777
17/08/2004,10.00.00,2,1094,-200,10,979,142,717,119,1633,1192,33.3,28.2,14189
30/08/2004,19.00.00,-200,1077,-200,11.3,1025,-200,629,-200,1677,772,28.4,38.4,14616
23/09/2004,02.00.00,0.8,865,-200,3.7,694,61,989,49,1385,678,22.2,63,16673
16/10/2004,18.00.00,-200,1146,-200,14,1118,-200,695,-200,1534,1174,19.2,46.3,10158
29/06/2004,07.00.00,3.4,1384,-200,23.5,1391,228,552,102,2316,1548,24.7,49.5,15201
23/03/2004,13.00.00,3.5,1310,325,16.9,1207,208,770,132,1847,1301,13.8,53.4,0.8351
29/05/2004,22.00.00,1.3,955,-200,8.5,918,102,1056,93,1511,762,19.5,36.9,0.8258
02/06/2004,01.00.00,-200,964,-200,7.5,877,70,958,49,1692,942,19.9,66.4,15203
16/09/2004,20.00.00,2.9,1092,-200,13.8,1110,302,725,117,1641,1105,21.3,54.8,13742
04/10/2004,20.00.00,-200,1356,-200,21.3,1331,-200,520,-200,1925,1643,23.3,53,14939
01/07/2004,08.00.00,3.9,1380,-200,22.3,1359,239,538,120,2337,1617,26.6,51.2,17565
20/05/2004,18.00.00,4.1,1401,-200,23.7,1396,231,645,168,2009,1402,27.7,24.8,0.9106
25/06/2004,14.00.00,1.6,972,-200,8.3,912,88,882,89,1596,675,35.5,20.3,11586
25/07/2004,03.00.00,0.4,851,-200,2.1,589,-200,1119,-200,1432,501,25,53.1,16541
10/11/2004,09.00.00,2,1021,-200,9.5,959,332,760,149,1297,910,7.9,73.5,0.7883
27/11/2004,14.00.00,4.7,1567,-200,20.1,1300,745,473,158,1753,1743,15.6,71.4,12596
30/04/2004,00.00.00,2.3,1297,170,11.1,1019,137,733,85,1823,1217,16.2,76.9,14051
05/05/2004,02.00.00,0.5,820,-200,1.5,541,18,1450,28,1360,377,15.7,64.5,1.14
07/08/2004,15.00.00,1,858,-200,5.3,776,43,947,56,1431,498,38.1,21.1,13863
14/10/2004,13.00.00,-200,1052,-200,9.7,966,-200,726,-200,1446,982,22.2,41.4,1097
25/05/2004,05.00.00,0.1,774,-200,1.7,560,45,1386,51,1107,532,11.6,40,0.5462
25/08/2004,07.00.00,1.9,1173,-200,11.9,1047,160,631,89,1815,1175,24.9,52.9,1643
28/09/2004,22.00.00,1.5,1009,-200,8.3,911,196,788,111,1359,1177,19.8,47.7,10885
03/08/2004,11.00.00,-200,1147,-200,10.6,999,176,697,158,1788,915,34.7,32.1,1741
18/10/2004,09.00.00,-200,1153,-200,17.7,1230,-200,616,-200,1565,1296,16.8,57.8,10947
25/04/2004,16.00.00,1.3,931,64,4.5,739,83,1274,74,1219,474,20.2,24.1,0.563
21/08/2004,07.00.00,-200,826,-200,3.8,698,-200,1017,-200,1331,542,25.7,36.9,11991
30/07/2004,03.00.00,-200,907,-200,7.1,863,-200,782,-200,1669,919,23.1,52.1,14518
26/05/2004,05.00.00,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
17/09/2004,18.00.00,2.7,1103,-200,14.8,1143,310,741,116,1647,1089,23.2,43.3,12161
24/06/2004,06.00.00,0.7,893,-200,3.7,696,48,1008,54,1548,801,22.1,56.2,1.48
03/11/2004,19.00.00,4.6,1390,-200,24.4,1414,455,487,117,1959,1428,23.3,53.1,1496
14/05/2004,16.00.00,2.3,1113,-200,13.1,1086,138,882,119,1584,926,28.1,21.9,0.8184
30/03/2004,13.00.00,3.4,1373,546,17.1,1213,200,791,128,1711,1354,22.4,20,0.5352
27/09/2004,13.00.00,1.9,937,-200,9.1,942,226,852,90,1276,773,22.3,29.5,0.7838
21/03/2004,12.00.00,1.8,1267,-200,7.6,883,103,953,82,1617,906,19.4,46.1,10249
18/04/2004,00.00.00,-200,1110,-200,6.9,855,-200,897,-200,1568,943,16.3,57.2,10492
27/08/2004,06.00.00,1.1,-200,-200,-200,-200,92,-200,52,-200,-200,-200,-200,-200
12/10/2004,21.00.00,-200,843,-200,4.3,729,-200,990,-200,1219,618,15.5,57.1,0.9971
22/06/2004,02.00.00,0.4,758,-200,1.9,580,22,1215,36,1374,531,22.1,44.3,11665
25/10/2004,21.00.00,3.5,1319,-200,19.1,1273,492,511,87,1806,1444,18.5,73.4,15461
01/07/2004,15.00.00,1.9,1163,-200,11.7,1039,118,723,121,1814,888,37.8,26.9,17392
26/04/2004,10.00.00,1.4,941,76,5.4,782,110,1102,83,1328,668,18.3,32.3,0.676
07/06/2004,00.00.00,1.4,870,-200,7,858,102,1061,95,1557,811,19.3,47.9,1059
09/08/2004,04.00.00,-200,820,-200,2.2,598,23,1065,30,1511,684,23.8,65.7,19079
02/05/2004,10.00.00,1.6,1085,-200,8.5,918,89,890,79,1639,871,21.3,44.7,11157
