@relation 'teste 07-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
2.6,1061,-200,15.4,1162,220,777,90,1898,1132,19.9,49.4,11354
0.3,881,-200,2.6,624,38,1135,47,1319,656,16.4,50.2,0.931
2.4,-200,-200,-200,-200,169,-200,69,-200,-200,-200,-200,-200
-200,1449,-200,22,1350,-200,571,-200,2264,1452,16.4,70.8,13088
2.4,1197,-200,10.9,1012,607,717,179,1103,1655,11.7,32.7,0.4472
0.5,842,-200,2.8,640,40,1070,45,1293,595,23.7,46.7,13501
-200,1320,-200,13,1085,-200,730,-200,1689,1440,14.8,49.7,0.8321
-200,985,-200,6.6,838,60,850,84,1541,653,34.2,30.8,16299
1.1,994,-200,6.4,829,108,784,78,1581,982,23.6,54.2,15583
1.7,856,-200,6.2,821,239,937,111,1043,718,13.7,32.2,0.5032
-200,1103,-200,11,1014,-200,684,-200,1749,791,38,24.7,16073
0.8,941,-200,6,814,52,873,65,1592,979,27.5,41.3,14962
4.1,1499,-200,16.9,1207,654,748,143,1530,1881,13,73.7,10957
2.7,1169,303,11.7,1039,124,883,100,1550,941,17.8,30.3,0.6129
1.3,1049,-200,6.1,817,168,806,63,1517,882,20.8,68.6,16719
6.2,1722,1042,31.9,1595,378,539,119,2439,1798,11.9,60.9,0.8455
1.5,971,-200,7.6,881,78,916,105,1635,672,26.6,42.2,14452
3.9,1213,-200,21.1,1327,251,654,155,1864,2021,34.2,17.9,0.9444
0.5,829,-200,2.6,628,-200,994,-200,1378,577,22.3,59.7,15889
-200,711,-200,2.8,640,-200,1224,-200,1084,391,36.6,11.8,0.7107
0.4,822,-200,2,581,34,1326,47,1256,602,14.2,49.9,0.8025
0.2,854,-200,1.6,553,2,1203,5,1418,396,25.5,61.8,19831
-200,1099,-200,11.9,1048,-200,657,-200,1711,779,33,29.5,14613
1.1,924,61,2.9,648,63,1272,74,1186,465,14.5,39,0.6428
0.9,1011,-200,7.2,864,65,809,79,1532,1231,28.4,32.5,12361
2,1243,178,8.7,928,109,852,100,1622,1079,17.5,50.9,1009
0.2,862,-200,4.9,757,227,983,116,938,879,1.3,65.3,0.4457
1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853
-200,856,-200,3.5,684,-200,1023,-200,1368,520,28.1,34.2,12802
4.5,1464,-200,22.3,1358,732,477,169,1719,1711,12.3,72.5,10331
3.3,1120,-200,16,1181,-200,653,-200,1604,1028,31.1,21,0.9337
1.6,1002,-200,7.8,893,165,1010,111,1394,775,17.5,30.9,0.6111
1.4,1012,93,4.7,746,86,1174,86,1301,555,15.6,35,0.617
2.2,1169,-200,10.1,983,289,672,79,1633,1033,23,62.3,17248
-200,1036,-200,4.7,746,-200,1034,-200,1364,993,12.3,57.6,0.8223
0.6,768,-200,3.3,671,79,1128,46,1153,700,13.6,57.6,0.8941
1.3,934,-200,8.3,911,85,857,64,1639,863,18.6,56,11865
-200,1070,-200,7.6,883,-200,942,-200,1625,925,10.3,79.4,0.9927
0.7,975,-200,4.5,737,32,896,39,1531,621,35.4,31.3,17736
1.4,951,-200,9,939,96,849,101,1488,868,25.3,30,0.9508
1,898,-200,4.6,742,93,915,50,1345,796,18.1,65.2,1343
4.5,1564,-200,23,1379,302,552,109,2306,1393,16.6,78,14572
2.8,1097,-200,16.6,1199,190,699,158,1738,1006,28.3,24.9,0.9412
1.6,852,-200,8.5,919,363,967,149,831,855,14.8,14.3,0.2397
1.1,930,58,4,710,61,1278,82,1137,509,13.5,28.5,0.4405
2.5,1153,279,12.5,1066,135,811,122,1651,1194,19.9,37.8,0.8675
4.4,1481,-200,22.3,1359,486,467,105,1957,1518,21.7,69.7,17872
2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945
-200,1028,-200,6.9,854,-200,776,-200,1561,761,29.5,39,15868
1.7,1196,160,7.7,885,85,884,89,1589,973,17.4,51.8,1023
2.6,1378,-200,15.9,1177,238,548,92,1775,1266,29.6,42.3,17248
3.1,1252,-200,13.3,1094,395,615,90,1526,1188,19.5,57.4,12874
-200,877,-200,1.6,549,14,1265,26,1317,463,19.6,47.7,10736
1.7,1158,-200,9.8,970,196,664,73,1509,1202,20.3,68.1,16009
1.8,951,-200,8.2,908,275,873,94,1314,904,19.7,40.2,0.9108
2.8,1249,-200,15.8,1174,193,712,117,1774,1486,20.3,37.4,0.8807
2.8,1364,386,16.8,1205,196,723,139,1850,1566,26.7,28.7,0.9895
-200,723,-200,0.9,485,-200,1419,-200,1065,425,14.6,57.1,0.9428
5,1257,-200,27.6,1495,379,524,129,2245,1647,19.2,48.8,10751
-200,1086,-200,11.9,1048,-200,1016,-200,1580,888,30.6,18.6,0.8014
2.8,1157,-200,15.4,1160,166,738,124,1936,1000,31.4,30.3,13689
1.6,1048,-200,6.3,826,89,853,90,1637,747,28.8,41.3,16164
0.7,862,-200,4.8,751,73,1154,77,1213,617,18.4,24.6,0.5169
-200,1071,-200,7.1,860,-200,742,-200,1500,1021,20.4,64.4,1522
1.8,1095,227,8.5,918,91,896,90,1527,800,15.7,49.4,0.8768
1.5,850,-200,4.8,755,293,966,116,1051,714,12.1,46.5,0.653
1.3,865,-200,5.2,773,93,991,85,1414,653,21.3,38.7,0.9686
3.6,1164,-200,17.6,1227,318,658,104,1800,1193,21.9,53.1,13787
1,1033,70,3.6,686,63,1030,69,1420,948,11.9,74.8,1038
0.7,913,-200,4.6,743,65,931,66,1540,884,21.8,52.3,13539
4.1,1167,-200,19.5,1282,448,633,168,1685,1371,26.5,31.7,10787
2,1017,-200,12.2,1057,122,859,112,1698,861,35.3,19.6,11036
-200,1108,-200,10.7,1003,-200,727,-200,1710,803,38.2,23.8,15666
2.5,1142,-200,13.9,1115,144,776,96,1735,1091,24.3,29.8,0.8926
-200,1430,-200,20.7,1316,-200,638,-200,2069,1382,11,77.4,10135
3.7,1321,-200,17.5,1224,537,543,192,1617,1424,20.3,46.7,10971
2,984,-200,10.5,998,134,905,97,1523,862,25.9,23.6,0.7771
2.3,1184,222,10.2,983,169,823,106,1604,1166,16.6,48.7,0.9146
-200,1028,-200,8.9,934,-200,786,-200,1481,707,35.8,23,13323
1,935,-200,4.2,724,43,936,49,1574,598,29.5,45.9,18662
-200,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248
1.7,1135,95,6.3,827,87,1013,79,1395,1070,9.3,62.2,0.7294
2.1,1108,-200,12,1049,206,749,142,1701,1137,32.8,25.2,12325
4.1,1311,-200,16.8,1203,761,542,123,1448,1428,7.7,84.3,0.8881
1.4,1055,-200,8.6,922,95,784,79,1634,990,30.1,33.9,14257
-200,1528,-200,25.8,1449,-200,473,-200,2039,1756,20.4,61.2,1447
1.7,1142,-200,9.1,945,73,682,83,1736,793,27.8,52.6,19398
-200,929,-200,5.6,795,-200,858,-200,1373,815,17.1,71.8,13936
2.2,1193,-200,14.7,1139,143,563,47,2009,1257,24.5,61.3,18522
1,899,33,2.6,630,57,1418,76,1050,425,13.1,26.8,0.4023
1.4,1018,-200,13.1,1088,127,909,120,1677,795,30.3,22.8,0.9695
2.1,1024,-200,12.1,1052,183,779,104,1690,952,28.5,27.3,10479
3.9,1119,-200,17.8,1233,407,670,148,1539,1270,22.3,29.2,0.7773
0.6,834,-200,3.6,689,46,988,58,1367,796,21.6,45,1151
1.9,1026,-200,13,1085,124,848,116,1654,1341,37.4,14.9,0.9413
1.2,988,-200,5.9,806,87,951,68,1568,940,16,61.6,11083
0.7,942,-200,4.9,758,17,824,29,1567,856,28.1,51.6,19269
-200,1435,-200,22.8,1373,-200,513,-200,1910,1759,23.9,48.7,14269
