Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
15/07/2004,16.00.00,2.2,1056,-200,14.3,1127,163,734,152,1694,928,36.5,18.1,10887
29/11/2004,13.00.00,2.5,1163,-200,11.1,1016,366,781,120,1363,1339,18.6,49.1,10425
05/09/2004,12.00.00,0.9,864,-200,3,651,-200,1096,-200,1193,443,34.5,19.3,10369
18/10/2004,08.00.00,-200,1298,-200,26.8,1473,-200,514,-200,1884,1447,14.4,65.8,10773
06/08/2004,10.00.00,2.6,1220,-200,14.2,1122,245,601,107,1974,1428,25.6,61.2,19808
28/03/2004,02.00.00,1.7,1135,95,6.3,827,87,1013,79,1395,1070,9.3,62.2,0.7294
22/08/2004,02.00.00,-200,886,-200,5.2,774,-200,868,-200,1486,815,20.9,57.4,14037
13/05/2004,05.00.00,0.4,835,-200,1.7,560,41,1409,49,1317,407,16.2,53.7,0.9799
13/04/2004,18.00.00,4.6,1442,669,21.5,1337,243,630,134,2004,1523,15.3,46.8,0.8074
23/10/2004,05.00.00,0.7,925,-200,4.6,742,127,876,43,1381,842,18.1,72.1,14834
21/05/2004,04.00.00,-200,888,-200,2.8,640,33,1089,47,1330,670,16.5,50.2,0.932
27/04/2004,06.00.00,1.4,1120,111,8.9,935,112,843,76,1593,1126,14.4,53.1,0.8677
15/09/2004,16.00.00,-200,1269,-200,17.2,1215,-200,608,-200,1939,1296,26.3,56.5,19018
08/04/2004,16.00.00,1.9,1085,209,10.7,1004,106,888,95,1454,816,21,25.4,0.6264
24/04/2004,22.00.00,1.1,1007,64,3,650,53,1157,54,1404,528,12.9,79.7,11774
05/10/2004,14.00.00,-200,1301,-200,17.1,1212,-200,575,-200,1717,1332,28.4,37.6,14282
30/11/2004,21.00.00,4.1,1157,-200,12.4,1063,491,905,160,1394,1223,10.7,73.9,0.9502
02/05/2004,16.00.00,1.1,1018,-200,5.5,790,69,1047,67,1443,580,25.9,28.1,0.9258
05/07/2004,01.00.00,0.6,848,-200,3.7,692,41,1034,55,1412,734,25.5,35.7,11499
26/09/2004,00.00.00,2.4,1067,-200,10.9,1013,330,794,97,1350,1133,17,43,0.8242
13/10/2004,09.00.00,1.5,896,-200,5.9,809,286,882,78,1257,788,15.4,53.2,0.9246
04/05/2004,03.00.00,0.4,873,-200,1.5,545,-200,1308,-200,1471,497,15.6,81,14302
01/07/2004,16.00.00,1.8,1078,-200,10.9,1009,120,767,127,1730,787,37.8,22.7,14653
02/07/2004,11.00.00,1.8,1105,-200,10.1,980,164,777,112,1745,980,34.6,27.7,14991
07/04/2004,10.00.00,1.6,1087,196,7.4,876,112,911,96,1554,737,16.1,53.1,0.9675
20/06/2004,00.00.00,2.3,-200,-200,-200,-200,144,-200,109,-200,-200,-200,-200,-200
19/08/2004,10.00.00,1.2,1031,-200,6.5,834,47,793,47,1640,737,32.5,39.4,18982
03/07/2004,00.00.00,2.5,1131,-200,13.1,1087,164,705,131,1738,1240,24,37.8,11125
08/11/2004,23.00.00,-200,903,-200,7.4,872,-200,855,-200,1108,987,7.9,61.4,0.6582
16/04/2004,11.00.00,2.6,1223,212,11,1014,172,781,108,1666,1219,17.6,46.7,0.9324
19/07/2004,17.00.00,-200,1234,-200,16.8,1205,142,658,149,1781,1160,39.6,17,12064
19/11/2004,06.00.00,1,870,-200,1.6,550,68,1126,45,1078,515,15.4,55.9,0.9722
