Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
28/11/2004,23.00.00,3.1,1260,-200,11.4,1030,492,639,122,1378,1355,10.5,75.4,0.9566
21/07/2004,00.00.00,-200,1128,-200,10,978,92,733,89,1683,1193,28.3,36.8,13906
06/04/2004,15.00.00,1.9,1096,220,9.2,947,115,872,113,1519,684,18.6,36.9,0.7829
06/10/2004,13.00.00,-200,1391,-200,18.3,1249,-200,518,-200,1845,1399,26,46.4,15414
15/05/2004,10.00.00,2.6,1157,-200,12.7,1072,191,802,127,1653,1327,23.1,30.3,0.8425
01/09/2004,09.00.00,3.9,1217,-200,18.7,1261,487,533,142,1941,1375,26.3,43.1,14542
13/06/2004,18.00.00,1,847,-200,2.9,645,71,1245,68,1364,480,20.7,43.4,1047
01/09/2004,04.00.00,0.5,838,-200,2.8,639,72,963,48,1391,596,20.8,64.9,1571
02/10/2004,20.00.00,-200,1432,-200,17.8,1234,-200,553,-200,1849,1342,22.9,57.9,15958
09/04/2004,13.00.00,4.3,-200,512,-200,-200,253,-200,135,-200,-200,-200,-200,-200
02/07/2004,13.00.00,1.9,1125,-200,12,1051,125,730,120,1771,923,36.9,23.3,14313
05/10/2004,09.00.00,-200,1337,-200,21.6,1339,-200,525,-200,1870,1622,20.6,58.5,14054
21/11/2004,21.00.00,1.3,1136,-200,7.7,885,348,806,163,1006,1403,7.1,43.2,0.436
03/11/2004,16.00.00,2.7,1240,-200,15.1,1152,352,575,94,1699,1278,25.6,46.2,14903
16/11/2004,20.00.00,3.2,1182,-200,15.8,1175,461,637,171,1363,1463,13.4,40.4,0.6178
13/06/2004,07.00.00,0.4,796,-200,1.3,526,25,1534,36,1322,392,21.4,47.8,12005
25/10/2004,06.00.00,1.2,1020,-200,7.2,866,253,749,59,1440,1087,15.8,79.6,1417
30/05/2004,02.00.00,0.6,869,-200,6.5,835,61,1078,76,1437,807,19.2,42,0.9248
20/04/2004,13.00.00,-200,1250,-200,15.8,1173,-200,720,-200,1870,1282,21.8,39.6,10209
08/05/2004,19.00.00,-200,1175,-200,17,1209,-200,720,-200,1829,1071,16.7,44.6,0.8393
17/11/2004,20.00.00,4.3,1407,-200,22,1351,729,516,254,1557,1751,12.4,56.8,0.8141
23/09/2004,23.00.00,1.7,1071,-200,8.9,934,179,763,94,1504,942,22.5,53.7,14486
18/11/2004,01.00.00,2.2,999,-200,5.1,771,235,864,127,1068,995,8.8,63.8,0.7236
27/09/2004,12.00.00,1.6,917,-200,8.3,910,252,886,95,1275,744,21.9,30.7,0.7961
24/03/2004,14.00.00,2.2,1170,159,10.8,1009,126,879,106,1566,872,16.6,35.6,0.6697
29/04/2004,14.00.00,3.4,1458,346,20.9,1321,201,654,122,2023,1516,22.4,37.9,1016
19/11/2004,03.00.00,1.2,886,-200,2.3,608,-200,1013,-200,1143,611,14.9,65.3,11018
18/06/2004,12.00.00,2.3,1116,-200,14.3,1128,153,739,129,1856,1042,34.9,24.9,1363
15/04/2004,03.00.00,-200,889,-200,1.7,559,-200,1331,-200,1241,714,10.2,63.2,0.7865
24/07/2004,17.00.00,1.2,1021,-200,6,814,54,858,62,1545,615,35.1,29.6,16452
14/03/2004,15.00.00,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29,0.7525
07/11/2004,19.00.00,3.1,1009,-200,10.5,995,386,784,140,1201,1016,14.4,39.2,0.6407
10/08/2004,20.00.00,1.7,1136,-200,9.7,967,65,703,67,1801,927,32.3,43.6,2.07
28/08/2004,01.00.00,0.7,-200,-200,-200,-200,41,-200,58,-200,-200,-200,-200,-200
27/05/2004,12.00.00,-200,1100,-200,11.5,1034,-200,995,-200,1586,958,27.1,24.2,0.856
17/10/2004,08.00.00,-200,875,-200,4.8,754,-200,961,-200,1296,591,15.9,61,10911
28/09/2004,09.00.00,4.1,1236,-200,21.3,1332,641,601,152,1683,1550,17.8,45.7,0.9224
10/05/2004,08.00.00,-200,1598,-200,35.2,1668,-200,490,-200,2617,1749,16,57.3,10342
12/03/2004,15.00.00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,15.8,37,0.661
29/06/2004,18.00.00,3.7,1372,-200,23.2,1382,202,568,181,2268,1441,36.9,27.8,17099
20/11/2004,11.00.00,2.2,933,-200,10.3,990,555,849,192,956,1104,14.8,17.9,0.2977
27/09/2004,21.00.00,2.4,1018,-200,11.3,1024,345,758,128,1400,1169,18.1,39.9,0.8232
09/06/2004,13.00.00,2.8,1183,-200,18,1241,183,721,167,1937,1308,39.5,18.3,12917
26/03/2004,09.00.00,3.8,1408,592,19.3,1278,275,682,114,1928,1481,11.2,57,0.7544
10/11/2004,00.00.00,0.8,831,-200,2.5,620,-200,1164,-200,1039,545,6.5,83.5,0.8116
29/05/2004,21.00.00,1,901,-200,6.5,834,102,1177,103,1408,738,20.1,35,0.8149
