@relation 'teste 09-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
-200,1207,-200,11.5,1032,-200,797,-200,1701,969,10.5,79,10016
-200,811,-200,2.3,606,-200,1417,-200,1248,656,19,38.9,0.8468
2.4,1124,-200,16.6,1199,156,794,116,1858,1101,24.5,37.7,11454
-200,1379,-200,25.2,1433,-200,605,-200,1982,1370,31.5,29.9,13638
1.7,1197,-200,7.6,881,320,820,99,1295,1173,12.3,81.9,11674
2.2,1310,79,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778
1.5,1009,-200,8.3,911,196,788,111,1359,1177,19.8,47.7,10885
1.5,984,-200,7.5,879,89,940,85,1527,792,13.9,62.9,0.9948
-200,1778,-200,41.6,1805,-200,380,-200,2473,2094,25.6,47.5,1539
-200,912,-200,4.1,716,-200,875,-200,1586,898,21.7,73.2,18763
5.6,1503,-200,27.8,1498,1132,469,249,1749,1783,8.9,67.4,0.7714
2.8,1359,-200,19.5,1282,425,541,78,1912,1319,19.8,69.4,15859
1,1015,101,4.1,718,61,1065,71,1428,714,16.6,55.4,10408
-200,1145,-200,7.2,867,-200,739,-200,1499,870,25.8,49.6,16213
2.5,1131,-200,13.1,1087,164,705,131,1738,1240,24,37.8,11125
-200,1041,-200,9.6,962,119,728,102,1694,936,24.6,45.1,13714
1.9,1138,-200,10.2,985,120,742,103,1710,1141,25.2,42.7,13473
-200,1118,-200,9.3,951,-200,675,-200,1509,1124,19.4,70.1,15626
1.5,1047,-200,7,859,92,948,84,1538,677,23.9,34.3,1002
-200,1195,-200,12.6,1072,-200,799,-200,1609,1144,18.6,34.7,0.7369
-200,1700,-200,40.5,1782,-200,401,-200,2403,2004,27,40.2,14158
1.2,1185,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603
