@relation 'teste 03-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
-200,969,-200,5.1,769,43,866,60,1485,1063,24.5,40.4,12251
0.7,947,-200,2.1,594,24,1300,36,1390,580,14.5,63,10316
1.5,1134,151,10,979,106,794,73,1639,1140,14.6,56.8,0.9385
3.4,1317,377,17.7,1231,172,766,127,1798,1155,24.5,27.8,0.8433
2,1050,-200,9.6,962,107,810,120,1496,879,31.7,21.6,0.9959
1.2,1045,120,5.9,808,65,1038,69,1421,589,16.4,47.7,0.8819
1.2,986,-200,5.5,790,57,869,70,1422,853,26.3,33.1,11199
1.6,1061,-200,7.9,895,197,737,73,1359,944,18.8,59.1,12702
-200,1157,-200,12.9,1082,125,631,114,1854,907,31.9,37.5,17442
1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29,0.7525
4.9,1560,651,24.8,1424,247,579,143,2176,1688,20.8,45.3,11016
1.3,953,-200,4.2,722,138,911,70,1148,828,10.3,77.6,0.9743
1.8,1049,-200,10.4,994,139,813,123,1580,881,39.5,15.6,1102
4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048
2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254
3.2,1190,-200,16.8,1203,118,658,119,1967,1056,25.4,43.2,13805
-200,1506,-200,26.7,1471,-200,518,-200,2200,1530,28,52.7,19604
0.6,-200,-200,-200,-200,21,-200,36,-200,-200,-200,-200,-200
0.3,753,9,0.7,462,16,1822,25,955,274,13.9,30.9,0.4868
1.7,1103,-200,9.2,946,87,737,89,1686,934,36.6,26.5,1599
3.5,1177,-200,20.5,1310,226,656,145,2011,1189,33.1,23.5,11673
-200,1103,-200,10,979,-200,666,-200,1520,1156,19.5,69.7,15596
-200,926,-200,6.9,853,94,894,90,1478,651,31.1,26.2,11619
0.5,692,-200,1.1,507,65,1483,44,811,353,10.6,34.9,0.4455
-200,1059,-200,6.5,836,-200,742,-200,1675,1113,22.6,64.1,17358
3.2,1443,-200,20.9,1322,335,488,101,1933,1539,27,51,17936
2.7,1222,-200,14.5,1133,282,624,96,1698,1195,24.9,49.2,15251
0.7,838,-200,4.3,726,46,1056,61,1382,440,35,22.4,12371
0.2,858,-200,2.7,633,97,1136,73,878,788,3.5,55.9,0.4431
2.5,1136,353,13.2,1089,127,856,101,1552,928,20.6,24.8,0.5931
-200,812,-200,1.6,549,55,1213,43,1079,531,13.8,64,10042
-200,1223,-200,14.8,1142,145,778,88,1965,1084,26.2,46.4,15573
2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503
-200,1096,-200,12.8,1078,115,713,135,1600,801,37.4,18.1,11467
0.5,827,-200,3.1,656,55,1075,60,1447,722,24,46.4,13689
1.2,957,-200,5.1,767,57,867,74,1534,577,26.6,50.4,1724
2.2,1171,-200,13.1,1088,168,822,81,1889,1132,20.2,65.2,15251
1.5,1089,-200,11.3,1024,180,831,111,1452,1182,27.4,31.5,1133
0.9,913,-200,4.4,734,-200,864,-200,1338,646,25.6,37.6,12131
5,1424,-200,27.3,1486,506,523,218,2084,1537,32.2,28.8,13624
0.4,760,-200,2.6,626,22,1263,38,1386,575,17.8,54.1,10938
3.4,1493,-200,21.1,1328,283,577,101,2193,1597,16.8,62.5,11869
2.8,1184,-200,15.3,1157,338,586,94,1685,1273,18.2,71.4,14776
0.4,804,-200,2.8,636,21,1185,36,1321,424,31.8,22.3,10366
-200,999,-200,6.9,853,63,951,49,1756,885,20.3,70.9,16699
2.1,1324,100,9,940,146,924,121,1587,1423,16.3,51,0.9341
-200,1106,-200,8.5,921,-200,720,-200,1506,1055,21.1,62.8,15505
1.5,1016,-200,7.9,896,91,766,93,1704,820,33.4,35.1,1781
0.7,825,-200,4.2,720,38,1129,55,1511,678,21,51.9,12794
-200,867,-200,3.5,680,35,932,51,1477,777,23.7,51.2,14795
