@relation 'teste 05-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
3.4,1083,-200,17.9,1237,210,737,129,1786,1077,29.9,19.8,0.8211
3.4,1267,-200,19.3,1276,247,676,165,2059,1570,30.1,32.8,13795
2.6,1167,-200,17,1210,149,719,144,1944,1152,39.7,18.7,13306
1.2,914,-200,4.6,741,-200,891,-200,1210,803,17.1,59.2,11477
-200,741,-200,1.9,580,-200,1224,-200,952,660,5.1,68.7,0.6077
3,1194,-200,18.5,1255,-200,555,-200,1694,1452,27.2,33.3,11788
2.2,1185,245,10.4,992,138,942,97,1448,1014,20.9,21.7,0.5295
4,1233,-200,23.8,1398,230,613,159,1975,1834,32.6,20.6,0.9939
4.1,1485,-200,22.3,1359,465,477,132,2005,1614,23.9,54.4,15963
-200,1145,-200,14.5,1134,121,647,135,1828,1108,30.9,34.2,15064
4.5,1565,-200,24,1405,920,488,139,1830,1696,9.5,77.9,0.9278
-200,1163,-200,8.8,930,-200,849,-200,1691,985,12.8,80.8,11863
0.6,738,-200,1.3,529,100,1991,59,876,383,9.6,44.2,0.5289
-200,942,-200,4,712,-200,979,-200,1303,734,17.2,66.7,12987
-200,890,-200,3.9,703,48,1145,33,1601,751,19.7,65.3,14843
1.1,1000,-200,5.9,807,95,811,52,1376,825,25.3,46.7,14874
-200,1040,-200,11.2,1022,-200,713,-200,1624,998,27.3,36.8,13189
-200,1141,-200,12,1049,-200,675,-200,1530,1117,21,46.8,11508
-200,1015,-200,6.6,839,99,754,59,1473,970,21.4,69.3,17515
-200,1017,59,4,711,46,1009,56,1554,906,15.4,78.5,13635
0.4,834,-200,2.8,637,36,1187,53,1362,699,15,59.8,10142
7.7,1822,-200,36,1686,1134,387,233,2077,2244,15.5,61.2,1067
3.3,1452,-200,22.7,1371,207,576,117,2138,1622,21.9,43.3,11265
0.9,924,-200,6.6,839,57,957,68,1453,849,23.5,32.7,0.9349
1,901,-200,6.5,834,102,1177,103,1408,738,20.1,35,0.8149
1.7,1002,-200,9.6,964,149,828,137,1546,786,32.9,20.1,0.9902
4.5,1617,-200,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.821
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
0.2,812,-200,1.2,521,-200,1413,-200,1233,469,21.2,32.9,0.8178
-200,1310,-200,18.7,1259,-200,620,-200,1926,1240,28.6,48.2,18616
-200,1359,-200,16.5,1195,-200,542,-200,1784,1376,26.8,44.6,15467
2,979,-200,10.6,999,148,796,110,1515,1027,33.4,20.1,10142
3.9,1473,-200,24.2,1409,557,483,87,1984,1637,21.1,61.1,15056
1.9,1229,-200,9,941,220,680,68,1653,1040,24.8,59.6,18351
0.4,878,-200,5.4,784,46,1181,64,1407,610,21.4,36.9,0.9271
2.4,1138,-200,14.3,1128,133,681,110,1737,1490,27.8,29.9,11018
-200,1097,-200,7.8,892,-200,909,-200,1594,833,16.1,56,10151
2,1032,-200,12.6,1071,127,742,131,1619,840,35.7,18.9,10865
5.3,1642,804,24.9,1426,265,597,162,2117,1720,21.8,43.6,11226
-200,1473,-200,26.3,1463,683,462,143,1948,1605,20.6,56,13467
-200,890,-200,4.7,749,-200,953,-200,1332,483,34.5,20.5,11028
0.5,956,-200,3.1,661,38,1043,59,1398,701,18.4,51.7,10819
3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41,0.7451
