Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
03/06/2004,11.00.00,-200,987,-200,10.9,1009,-200,914,-200,1697,1227,27.4,31,11184
28/01/2005,23.00.00,1.1,-200,-200,-200,-200,115,-200,91,-200,-200,-200,-200,-200
22/02/2005,06.00.00,0.9,987,-200,2.6,628,170,929,117,1035,691,3.4,84.5,0.664
03/04/2004,07.00.00,2,1272,200,9.5,959,159,846,91,1660,1136,13.3,61.7,0.9399
23/03/2004,01.00.00,0.8,969,48,2.7,636,47,1271,64,1309,684,14,51.3,0.8163
24/08/2004,04.00.00,0.4,762,-200,1.7,563,12,1181,21,1208,492,21.7,42.6,10907
25/02/2005,01.00.00,2.1,1146,-200,7.1,860,326,692,189,1181,1092,5.2,83.9,0.7487
15/03/2004,13.00.00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096
11/07/2004,23.00.00,1.5,1020,-200,8.7,929,134,805,108,1615,929,22.7,43.9,11962
22/12/2004,06.00.00,0.5,821,-200,1.7,563,103,1270,74,807,678,4.7,49,0.4209
06/02/2005,03.00.00,0.9,914,-200,2.9,644,-200,972,-200,832,922,2.6,48.8,0.3658
31/08/2004,23.00.00,1.8,1063,-200,10.4,991,200,655,104,1672,966,24.4,53.4,16031
23/12/2004,15.00.00,3.3,1205,-200,12.8,1079,512,652,175,1168,1476,11,33,0.4331
26/07/2004,10.00.00,-200,962,-200,6.8,849,111,861,97,1559,804,31.7,31.5,14487
05/02/2005,19.00.00,1.6,999,-200,6.2,821,263,846,174,915,926,6.4,36.8,0.3566
10/01/2005,11.00.00,2.1,1413,-200,16.4,1193,698,484,144,1598,1566,13.1,70.3,10566
18/12/2004,01.00.00,1.4,1025,-200,5.6,794,199,848,101,1202,788,13.1,70.5,10594
31/03/2004,01.00.00,1,973,50,2.7,631,44,1287,64,1240,541,14.8,40.8,0.6814
19/03/2004,11.00.00,3.3,1390,-200,16.4,1191,218,759,135,1879,1268,14.5,54.4,0.8917
10/12/2004,14.00.00,2.1,941,-200,9,941,342,837,114,1036,884,18.8,20,0.4278
21/05/2004,08.00.00,4.8,1522,-200,28.2,1509,303,543,126,2275,1828,18.2,46.2,0.9575
