@relation 'teste 07-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
3.8,1228,-200,15.9,1178,693,621,193,1202,1628,8,38.3,0.4133
0.9,886,-200,4.6,744,-200,869,-200,1590,700,24.1,61.8,18339
2.2,-200,159,-200,-200,176,-200,119,-200,-200,-200,-200,-200
2.6,1369,304,14.5,1132,136,715,91,1818,1162,20.9,36.6,0.8939
1.8,1021,-200,7.6,883,234,766,130,1139,846,8.9,54.4,0.62
-200,724,-200,0.5,448,12,1917,18,1256,346,19.1,50.7,1109
1.1,1018,-200,5.5,790,69,1047,67,1443,580,25.9,28.1,0.9258
2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096
1.4,940,-200,6.4,829,209,823,140,901,716,13.6,22.7,0.3529
3.9,-200,-200,-200,-200,604,-200,177,-200,-200,-200,-200,-200
1.6,1124,163,6.9,853,149,960,99,1531,873,10,68.7,0.8456
0.2,905,-200,2.5,620,120,986,90,904,598,4,56.8,0.4688
0.7,862,-200,4.2,721,72,1329,66,1335,522,20.8,36.6,0.8878
3,1297,461,16.1,1183,159,765,130,1773,1242,23.6,31.3,0.9001
1.3,984,-200,4.3,727,197,891,137,908,913,4.1,42.9,0.3551
1,993,-200,3.6,688,-200,847,-200,874,931,5.8,42.9,0.399
1.3,966,-200,4.9,760,302,877,200,890,940,7.5,39.2,0.4091
1.4,999,-200,8,899,62,869,74,1629,637,35.8,22.4,12915
-200,809,-200,3.8,701,-200,997,-200,1384,649,21.1,51.6,12784
5,-200,-200,-200,-200,937,-200,164,-200,-200,-200,-200,-200
1.1,1067,93,4.3,727,91,1055,82,1448,903,11.4,71.8,0.9671
0.9,888,40,2.2,598,46,1396,58,1156,417,10.6,48,0.6135
4.2,-200,-200,-200,-200,534,-200,209,-200,-200,-200,-200,-200
-200,1040,-200,11.2,1022,-200,713,-200,1624,998,27.3,36.8,13189
3.4,1193,-200,16.5,1196,195,675,149,1888,1152,30.9,30.4,1338
1.3,1076,-200,9.9,972,111,819,109,1525,923,41.8,15,11989
0.7,1066,8,1.1,512,16,1918,28,1182,422,11,56.2,0.7366
0.5,851,18,0.8,477,15,1699,26,1064,343,14.5,36.1,0.5928
2.1,1078,-200,6.3,824,265,759,169,1016,982,6.9,48.2,0.4832
2.4,1056,-200,12,1051,163,826,116,1758,1078,27.5,32.6,1176
1.8,1010,-200,9,940,329,759,124,960,1027,14.5,18,0.2956
1.8,1224,66,7,855,108,998,88,1566,1149,13.4,61.3,0.9361
1.8,1239,73,6.9,853,106,1010,93,1543,1174,14,57,0.9094
3.3,1218,-200,16.6,1198,280,671,183,1907,1413,32.6,28,13566
3,1210,-200,22.2,1356,183,657,100,1786,1481,16.3,27.5,0.5066
3.4,-200,-200,-200,-200,561,-200,174,-200,-200,-200,-200,-200
1.2,973,-200,4.7,748,190,878,97,968,991,4.7,57.2,0.4932
2.1,1223,-200,10,979,455,658,224,1120,1332,6,46.4,0.4367
0.3,833,-200,3.8,697,54,1361,64,1294,496,27.5,22.8,0.8249
2.3,1142,-200,11.6,1035,100,746,112,1611,1062,27.9,27.6,10252
1.4,892,-200,7.3,869,71,953,77,1363,632,37.4,14.7,0.9295
-200,882,-200,3.5,685,35,1134,42,1492,673,16.2,69.9,12756
2.6,1238,-200,11.6,1037,212,583,132,1388,1000,15.5,40.7,0.7103
1.4,1009,-200,3.3,671,148,877,112,1010,610,6.7,62.8,0.6188
2.1,1145,-200,9.2,946,366,699,182,1015,1409,6.6,37.5,0.3664
3.9,1380,-200,22.3,1359,239,538,120,2337,1617,26.6,51.2,17565
2.2,1074,-200,9.4,954,136,846,112,1570,956,16.7,47.2,0.892
-200,861,-200,3,654,-200,995,-200,919,632,6.7,50.7,0.4998
4.3,1140,-200,19.7,1289,294,634,162,1884,1390,27.3,27.1,0.967
1.6,1106,-200,8.6,924,58,725,62,1757,910,30.7,48.1,20821
2.2,1205,-200,10.3,989,551,643,235,1084,1597,11.5,33,0.4476
1.6,1043,-200,4.3,726,195,875,105,972,1107,4.5,63.5,0.5411
-200,867,-200,4.4,734,48,1043,58,1324,808,14.6,51.4,0.8489
0.8,899,-200,1.8,572,98,1063,87,951,560,3.9,78.7,0.643
-200,884,-200,0.9,489,-200,1536,-200,1278,436,16,54,0.9742
2.3,1306,-200,9,938,132,961,105,1607,762,19.4,41.3,0.9206
2.8,1353,320,13.4,1096,195,774,130,1783,1159,11.7,69.1,0.9497
-200,988,-200,4.2,722,-200,1029,-200,1500,874,14.1,70.1,11224
3.6,1012,-200,7.1,861,311,785,119,1133,951,8.5,60.4,0.6713
0.8,806,-200,1,495,68,1282,61,685,355,4,36.4,0.2982
0.6,960,-200,1.3,532,66,1059,60,1122,724,12.9,70.4,10444
2.1,1159,-200,6.5,837,344,742,160,1087,1311,12.3,41.7,0.5961
1,-200,-200,-200,-200,40,-200,60,-200,-200,-200,-200,-200
4.9,1605,-200,24.5,1416,1099,436,240,1614,1941,5.3,77.4,0.6954
1.6,988,-200,6.6,839,202,803,139,936,963,8.8,31.2,0.3533
3.3,1375,524,15.9,1177,196,706,127,1898,1386,16.9,52.3,10013
0.5,809,-200,3.5,681,52,1108,43,1463,609,18.2,57.6,1193
0.6,913,-200,4.4,733,250,902,163,901,681,3.5,47.5,0.3778
2.9,1166,-200,11,1013,451,643,90,1408,1144,12.1,79.4,11201
3.1,1363,-200,16.4,1192,531,499,148,1501,1637,13.4,57.9,0.8895
1,904,-200,2.7,633,138,1040,100,789,410,10.2,28.3,0.3516
1.1,1030,95,7.5,880,76,892,69,1539,996,13.9,60.7,0.9597
2.4,996,-200,10.6,998,417,2318,128,1136,1060,12.9,34.5,0.5102
1.7,1126,-200,7.7,886,337,719,197,1208,936,4.4,79.1,0.6687
2.5,1160,-200,10.3,990,403,632,238,1254,1090,4.9,78.2,0.6826
3.9,1489,536,19.1,1270,309,633,114,1889,1638,13.5,53.4,0.8196
2.2,1100,-200,11.2,1021,133,952,99,1607,822,21.3,26.1,0.6539
0.8,927,-200,3.5,682,56,1109,54,1526,580,14.6,77.1,12727
3.1,1288,-200,16.4,1191,178,691,123,1910,1192,19.8,44.3,10104
1,901,-200,2.7,631,108,988,87,915,751,3.7,65.9,0.5295
0.4,762,-200,2.5,618,-200,1214,-200,1431,516,22.2,50.7,13405
0.2,799,-200,1.6,555,-200,1327,-200,1320,643,12.8,66,0.969
2.3,1238,-200,13.1,1088,150,636,116,1883,1306,32.7,34.5,16798
-200,1105,-200,7.9,897,-200,906,-200,1510,1050,9.1,67.4,0.7814
1,-200,-200,-200,-200,46,-200,63,-200,-200,-200,-200,-200
1.6,1074,-200,6.4,832,244,748,119,1230,934,13.5,59.9,0.9261
1.6,1069,-200,7.2,867,92,785,65,1717,880,33.2,39.2,19642
1.4,1004,-200,9.4,955,146,758,84,1671,1043,18.5,57.4,12076
3.1,1310,-200,12.9,1082,621,555,267,1400,1254,4.1,82.5,0.6819
2.5,1095,-200,11.1,1019,186,815,113,1618,1181,22.8,32.4,0.887
1.2,986,-200,6.4,830,73,906,100,1482,536,36.6,24.6,14872
1.9,1248,-200,10.1,982,95,880,107,1617,746,30.4,26.5,11347
3.4,1285,-200,12.1,1052,465,605,158,1164,1967,5.1,58.4,0.517
2,1088,-200,6.9,851,349,766,109,1307,959,14,75.9,12064
1.6,974,-200,5.3,778,286,832,168,905,782,9.4,32.7,0.3855
4.2,1529,589,21.2,1331,211,700,132,2028,1399,22.8,32.1,0.8814
-200,965,-200,8.9,936,-200,808,-200,1535,866,25.4,36.2,11562
2.1,1122,238,10.4,993,132,859,95,1571,993,18.4,34.2,0.7185
3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806
-200,1147,-200,10.6,999,176,697,158,1788,915,34.7,32.1,1741
5.4,1724,816,28.3,1510,222,562,155,2252,1716,23.1,42.2,11746
1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059
2.4,1142,-200,12.1,1053,136,753,105,1814,979,20.4,54,12757
