Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
22/07/2004,05.00.00,0.8,954,-200,4.1,715,48,867,50,1527,1010,24.9,50.6,15755
07/12/2004,04.00.00,-200,828,-200,2.6,627,146,1074,64,1103,748,11.9,71.4,0.9921
26/03/2004,16.00.00,1.9,1093,143,8.8,933,112,976,87,1454,777,13.4,41,0.6292
02/04/2004,06.00.00,1.1,1067,93,4.3,727,91,1055,82,1448,903,11.4,71.8,0.9671
20/02/2005,06.00.00,0.5,918,-200,1,501,42,1148,40,881,420,8,54.7,0.5883
23/04/2004,22.00.00,2.2,1294,208,13,1083,121,770,108,1687,1321,19.2,44.9,0.9875
30/05/2004,04.00.00,-200,815,-200,5.2,774,43,1113,55,1374,712,17,47.7,0.9185
26/06/2004,16.00.00,1.2,1019,-200,6.7,842,70,935,73,1565,729,37.2,20.5,12813
15/06/2004,02.00.00,0.5,754,-200,1.4,535,21,1490,33,1335,435,20.7,48.3,1168
09/06/2004,04.00.00,0.5,817,-200,3.3,672,31,1113,51,1501,751,20.8,54.4,13229
26/06/2004,02.00.00,0.9,835,-200,4.5,739,47,1036,61,1382,694,21.2,37.6,0.9355
09/06/2004,18.00.00,4.9,1460,-200,27.6,1493,277,586,222,2288,1649,37.3,23.4,14672
14/08/2004,23.00.00,0.9,939,-200,4.9,758,40,858,47,1544,664,26.7,49.5,17048
24/05/2004,09.00.00,1.3,898,-200,6.9,853,85,1066,56,1271,763,19.2,23.8,0.5235
12/01/2005,21.00.00,5.9,1495,-200,23.3,1386,782,457,177,1736,1734,12,67.5,0.9467
28/06/2004,14.00.00,1.6,1079,-200,11.1,1018,93,793,97,1739,850,40.1,19.3,14013
15/01/2005,18.00.00,3.7,1361,-200,17.4,1223,640,525,182,1454,1648,8.7,66.3,0.7491
17/07/2004,23.00.00,2.4,1165,-200,11.8,1043,125,717,120,1644,1188,26.8,29.9,10402
13/03/2004,01.00.00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423
03/02/2005,12.00.00,2.2,1205,-200,10.3,989,551,643,235,1084,1597,11.5,33,0.4476
25/06/2004,18.00.00,2.8,973,-200,14.4,1128,170,813,127,1642,894,32.9,15.5,0.7649
18/06/2004,14.00.00,2,1083,-200,13.4,1097,117,765,125,1810,847,37.6,21.1,13478
12/04/2004,20.00.00,1.2,964,68,3.7,692,88,1176,82,1292,573,10.6,57.7,0.7362
11/05/2004,12.00.00,2.5,1142,-200,13.9,1115,144,776,96,1735,1091,24.3,29.8,0.8926
28/05/2004,10.00.00,-200,1050,-200,9.6,963,-200,998,-200,1609,901,24.3,35.1,10477
05/12/2004,18.00.00,2.4,1120,-200,8.9,935,275,744,93,1385,922,12,78.4,10954
02/01/2005,21.00.00,2.9,-200,-200,-200,-200,470,-200,160,-200,-200,-200,-200,-200
20/06/2004,11.00.00,1,-200,-200,-200,-200,42,-200,59,-200,-200,-200,-200,-200
27/08/2004,04.00.00,0.6,-200,-200,-200,-200,46,-200,58,-200,-200,-200,-200,-200
11/08/2004,11.00.00,1.7,1144,-200,8.3,913,89,715,68,1782,972,35.1,38.1,21144
25/04/2004,11.00.00,0.9,862,71,2.7,635,58,1320,58,1193,393,17.2,35,0.6789
19/07/2004,09.00.00,2.5,1282,-200,17.7,1230,263,594,145,1924,1696,27.1,34.9,1231
15/04/2004,09.00.00,3.9,1489,536,19.1,1270,309,633,114,1889,1638,13.5,53.4,0.8196
14/04/2004,10.00.00,2.7,1214,312,12.3,1061,183,780,103,1662,1257,19.5,34.4,0.7738
21/03/2004,04.00.00,-200,1117,-200,5.8,802,85,1029,87,1539,818,15.4,57.8,10021
