@relation 'teste 04-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.9,1195,-200,8,898,122,933,105,1594,1098,17,51.7,0.9914
1.4,1009,-200,3.3,671,148,877,112,1010,610,6.7,62.8,0.6188
2.4,1131,-200,13.4,1097,137,735,93,1797,1027,20.7,42.4,10248
1.1,915,-200,3,653,169,973,94,905,901,2.6,63.2,0.4721
1.2,1029,84,4.8,754,57,1098,79,1395,749,12,58.4,0.8164
1.1,1047,74,4.9,760,64,1032,74,1379,1003,11.5,61.4,0.8303
1.4,939,-200,6.8,849,72,804,83,1479,650,26.3,37.3,12555
-200,1077,-200,10.9,1012,-200,708,-200,1633,1138,24.4,42.6,12866
2.3,986,-200,8.8,931,362,815,120,1011,976,18.3,19.5,0.4044
1.1,-200,-200,-200,-200,136,-200,105,-200,-200,-200,-200,-200
2,1214,-200,9.8,970,119,777,100,1771,1076,18.7,64.6,13836
0.7,792,-200,2.8,637,31,1249,43,1400,559,21.6,45.8,11715
-200,1079,-200,7.3,869,84,751,76,1634,1223,23.1,49.7,13863
2.6,1312,-200,11.9,1047,374,545,126,1430,1399,13,70,1042
0.6,799,29,1.1,514,42,1615,59,1036,332,14.1,34,0.5442
1.6,966,-200,9.5,959,92,838,95,1686,852,21.8,46.3,11913
0.9,-200,-200,-200,-200,182,-200,94,-200,-200,-200,-200,-200
-200,1129,-200,13.7,1107,-200,844,-200,1742,940,25.9,26.9,0.8845
1.5,927,-200,5.8,805,289,965,140,918,1007,5.8,43.4,0.4037
1.6,1206,-200,9.2,948,357,628,121,1129,1540,5.9,65.8,0.6178
2.8,987,-200,4.2,723,185,863,126,974,684,6.4,61.7,0.5956
2.2,1034,-200,8.9,935,122,870,98,1605,941,13.7,65.8,10254
0.2,1125,-200,4.9,758,167,820,104,1241,867,9.8,81.9,0.9923
-200,1058,-200,8.5,921,-200,876,-200,1594,893,18.8,48,10323
0.4,839,60,1.9,576,-200,1325,-200,1285,759,10.7,64.4,0.8284
0.6,895,47,2.7,632,-200,1167,-200,1347,684,14.2,56.9,0.9141
0.5,810,-200,3.1,657,11,1016,20,1337,629,24.5,41.5,12589
-200,1199,-200,14.6,1138,-200,581,-200,1452,1203,14.4,49.2,0.8027
1.2,1065,-200,7.7,889,94,722,56,1760,1081,21.9,74.9,19396
0.5,966,-200,5.8,802,46,968,60,1383,607,41.3,11.9,0.9252
1.5,1098,-200,9.1,944,69,687,76,1772,1086,28.2,51.1,19221
0.9,901,-200,3.2,662,125,1034,66,1127,678,13.3,63.6,0.9673
1.2,966,-200,4.4,735,59,932,70,1494,567,28.2,41.9,15776
1.1,866,-200,2.4,613,124,1075,97,810,579,3.3,47.4,0.3716
2,1065,-200,8.2,908,314,741,174,953,1284,7.4,31.8,0.3287
2.4,-200,-200,-200,-200,288,-200,190,-200,-200,-200,-200,-200
-200,887,-200,2.9,648,-200,1222,-200,1357,553,9.5,80.2,0.9533
2.4,1040,-200,8.4,917,335,739,204,1038,1021,4.8,41.9,0.3634
1.4,1060,-200,5.4,784,314,770,196,1117,941,5.5,79.5,0.7238
0.4,803,-200,0.7,466,33,1451,30,1034,449,14.8,65.5,10965
-200,1255,-200,15.5,1164,127,638,126,1793,1301,32.6,26.3,12754
0.9,982,-200,2.1,592,-200,953,-200,1106,830,13.1,65.7,0.9858
1.6,994,143,6.9,851,95,1018,75,1436,640,20.2,30.7,0.7176
0.6,883,-200,1.2,518,87,1135,81,962,606,3.3,84.5,0.6612
0.7,856,34,2,581,36,1448,54,1111,346,14.6,34,0.5605
2.3,1116,-200,14.3,1128,153,739,129,1856,1042,34.9,24.9,1363
1.4,1022,-200,8,899,100,846,97,1588,820,23.4,43.2,1229
3.4,1270,-200,14,1117,542,586,101,1528,1290,13.1,78.7,11817
2,1079,-200,10.7,1004,175,713,111,1628,1302,22.8,43,11731
0.6,859,-200,2.5,620,32,1201,47,1316,445,16.2,52.8,0.9626
0.8,911,-200,4.8,751,48,1036,46,1518,817,14.3,66.2,10728
1.6,904,-200,7.6,882,127,1048,94,1549,744,22.5,37.8,10157
5.5,1797,336,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917
1.2,1086,-200,9.9,974,58,707,91,1733,795,28.8,43.5,16989
1.3,916,-200,4.3,725,155,953,115,855,746,4,43.1,0.3551
1.9,1037,-200,9.8,969,127,841,105,1728,865,27.4,37,13319
2,1017,-200,12.2,1057,122,859,112,1698,861,35.3,19.6,11036
1,996,-200,2.5,620,118,928,94,946,570,10.6,45.8,0.5838
2.3,1173,-200,14.4,1130,208,648,120,1885,1401,23.2,43.9,12344
1.3,-200,-200,-200,-200,82,-200,75,-200,-200,-200,-200,-200
2.9,1166,-200,11,1013,451,643,90,1408,1144,12.1,79.4,11201
1.5,984,-200,6.4,829,99,1003,85,1516,787,13.3,61.8,0.9433
2,-200,-200,-200,-200,220,-200,151,-200,-200,-200,-200,-200
0.5,827,-200,3.1,656,55,1075,60,1447,722,24,46.4,13689
0.8,870,-200,2,582,149,1091,115,791,737,0.3,53.7,0.3424
-200,830,-200,0.9,492,53,1263,52,948,578,4.7,78.9,0.682
0.7,992,-200,2.9,644,96,899,70,1128,854,11.8,70.6,0.9731
2.4,1311,293,15.7,1170,119,748,108,1787,1219,28.1,26.9,10094
-200,974,-200,8.1,905,97,838,97,1596,805,33.9,26.9,13964
1.1,1067,93,4.3,727,91,1055,82,1448,903,11.4,71.8,0.9671
1.8,1238,-200,11.6,1037,113,813,91,1698,978,25.6,32.5,1053
0.3,801,30,0.7,464,-200,1749,-200,1154,340,16.1,42.4,0.7718
2.1,1082,-200,6.7,843,-200,729,-200,1061,1090,2.8,74,0.5591
1.3,937,-200,6.9,853,-200,962,-200,1604,969,19.8,53.6,12214
2.5,1148,-200,9.6,963,451,680,102,1395,1017,12.2,83.9,1189
0.7,868,-200,1.8,567,91,1238,64,919,823,6.4,63.3,0.6123
1.7,1196,160,7.7,885,85,884,89,1589,973,17.4,51.8,1023
4.2,1435,585,19.1,1271,300,676,130,1885,1569,13,54.2,0.809
4.6,1390,-200,22.6,1368,228,605,148,2092,1494,20.3,43.1,10114
1.3,1004,-200,4.5,739,-200,868,-200,1004,1030,3.1,70,0.5388
1.3,906,-200,5.5,790,211,893,138,837,642,12.3,19.3,0.274
2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578
1.1,975,-200,5.7,798,51,939,55,1576,570,32.8,28.9,1412
-200,1154,-200,8.5,919,-200,876,-200,1623,861,17.5,54.2,10722
-200,903,-200,9.7,968,-200,992,-200,1565,740,28.7,25,0.9684
1.2,880,-200,5.9,807,79,1123,72,1510,599,23.9,36.8,10774
2.4,1264,237,8.7,928,132,884,102,1534,1035,15.9,43.5,0.779
1,855,-200,3.8,698,66,1134,62,1449,526,25.6,37,12006
2.8,1490,-200,19.6,1286,188,593,97,2053,1447,16.6,55.9,10486
3,1280,-200,14.9,1144,481,555,144,1599,1624,16.4,72.1,1336
0.9,840,-200,1.8,566,101,1176,76,717,368,7.6,27.9,0.2927
-200,1052,-200,12.1,1053,-200,949,-200,1641,831,28.9,23.7,0.9285
2.7,1065,-200,13.7,1106,142,897,112,1707,929,19,38.2,0.8327
3.4,1215,-200,17.8,1234,180,796,125,1735,1167,23.5,20.8,0.5937
-200,1124,-200,5.6,793,-200,965,-200,1521,791,14.7,65,10766
0.7,852,-200,4.5,739,37,1095,63,1525,837,19.6,54.8,1236
0.6,862,-200,1.4,540,73,1110,55,999,670,7.2,74.4,0.7581
1.8,-200,-200,-200,-200,224,-200,152,-200,-200,-200,-200,-200
-200,1107,-200,13.7,1106,135,727,129,1615,1024,41.7,12.5,0.9941
1.9,1089,-200,10.4,993,131,801,143,1675,825,38.5,22.4,15018
3,1094,-200,12.7,1072,170,888,122,1545,1105,22,24,0.6263
1.9,1096,220,9.2,947,115,872,113,1519,684,18.6,36.9,0.7829
1.7,1083,-200,8.3,911,107,883,96,1507,985,20.2,38.6,0.9016
4.5,1452,657,22.1,1354,282,620,128,2057,1501,12,58.1,0.8138
