@relation 'teste 05-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.1,953,-200,7.4,874,72,854,84,1528,899,24.2,37.3,11118
2.1,1146,-200,7.1,860,326,692,189,1181,1092,5.2,83.9,0.7487
3.6,1396,-200,16.5,1196,713,524,175,1492,1653,11.7,62.7,0.8586
0.8,873,-200,2,583,94,1155,66,1108,642,14.7,67.3,11177
1.8,1130,-200,5.8,803,267,772,127,1230,975,13.9,60.9,0.9644
-200,1025,-200,8.4,914,-200,856,-200,1605,1003,12.3,68,0.9722
-200,993,-200,7.2,866,111,832,98,1637,823,28.8,38.9,15184
1.3,989,-200,5,762,326,793,109,1076,959,5.3,80.4,0.7234
0.4,1100,-200,12.2,1057,391,687,167,1126,1241,12.2,28.7,0.4077
-200,1297,-200,10.7,1003,-200,798,-200,1700,1177,16.9,54.8,10455
1.3,942,104,5.4,785,86,1065,77,1365,571,19.7,32.5,0.7396
1.8,1239,66,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164
3.7,1496,-200,20,1298,896,492,187,1441,1873,3.1,64,0.4938
3.4,1267,-200,19.3,1276,247,676,165,2059,1570,30.1,32.8,13795
2.5,1285,333,14.2,1123,136,755,121,1741,1293,27.4,28.2,10098
4.7,1299,-200,18.5,1254,698,566,161,1662,1488,15.9,63.4,11349
4.1,1128,-200,15.4,1161,480,672,174,1163,1340,5.9,37.8,0.3528
1.4,1115,-200,5.3,778,203,749,135,1158,994,10.9,55.9,0.7312
0.6,873,-200,3.9,704,41,1091,49,1322,756,15.3,49.7,0.8552
2.7,1011,-200,14.2,1122,203,808,137,1680,1071,26.1,24.7,0.8233
4.9,1536,655,20.2,1302,269,666,161,1922,1599,18.3,40.9,0.8493
0.4,851,-200,0.5,440,46,1349,46,918,377,3.4,85.4,0.6736
3.7,1539,285,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.8743
-200,1483,-200,17.1,1213,-200,764,-200,1798,1249,23.7,28.6,0.8273
1,862,-200,2.8,639,148,1033,81,1100,727,12.3,67.5,0.9624
6.8,1486,-200,30.8,1570,954,455,285,1557,2179,8.6,29.8,0.3344
2,1076,-200,10.4,994,133,723,129,1549,938,38.3,17.9,1181
-200,976,-200,4.8,752,-200,876,-200,1561,545,36.8,30.5,18572
1.6,989,-200,7.8,889,85,889,89,1602,664,35.3,20.8,11664
1.1,903,-200,5.8,805,49,886,64,1361,581,33.4,22.5,11398
1.7,1019,-200,5.5,788,226,828,85,1267,812,11.4,83.7,11278
1.4,-200,-200,-200,-200,56,-200,70,-200,-200,-200,-200,-200
-200,949,-200,10.7,1003,109,830,113,1473,730,35.3,15,0.8463
0.7,927,-200,4.7,747,58,830,34,1633,910,23.5,67.4,19305
1.3,937,-200,6.9,853,-200,962,-200,1604,969,19.8,53.6,12214
1.2,-200,-200,-200,-200,222,-200,83,-200,-200,-200,-200,-200
2.1,1074,-200,12.8,1078,124,685,108,1673,1317,24.7,36.9,11302
2,1366,-200,17.1,1213,378,489,134,1611,1469,14,66.4,10536
5.7,1593,743,23,1378,309,582,142,2159,1449,14.6,76,12573
0.3,814,-200,2.5,618,-200,1097,-200,1400,696,21.6,46.1,11761
-200,1056,-200,8.7,926,-200,748,-200,1643,702,37.9,25.7,16651
4.1,1500,-200,23.6,1393,279,560,95,2163,1495,15.5,62.2,10875
1.7,1102,-200,10.3,990,90,799,103,1685,849,34.3,26,13865
-200,1526,-200,27.7,1495,286,471,140,2405,1904,25.8,42.2,13774
2.6,1237,-200,15.8,1175,173,660,128,1834,1424,30.5,29.7,12742
3.3,1364,-200,16.7,1202,198,771,135,1875,1250,16.3,47.1,0.864
1.1,994,-200,6.4,829,108,784,78,1581,982,23.6,54.2,15583
4.6,1339,-200,30.4,1561,366,498,145,2357,1791,22.1,41.7,1098
0.6,819,-200,3.4,677,56,1048,62,1379,685,20.3,46.8,1.1
0.6,880,-200,3.4,677,24,1109,36,1500,554,26.2,43.6,14599
2.5,1085,204,8.2,907,133,976,101,1419,893,16.6,34,0.6353
0.6,825,-200,4,709,68,1050,74,1491,813,19.3,51.4,11364
2.3,956,-200,8.8,931,409,799,140,1046,1015,16.1,28.5,0.5164
1.6,973,-200,5.3,777,286,858,165,844,719,13.9,20.7,0.3271
2.9,1265,-200,17,1209,290,638,157,2015,1812,30.8,37.1,16169
1.5,1041,-200,6.8,846,351,829,106,1112,1076,5.6,68.9,0.6328
-200,758,-200,0.2,388,20,1785,20,765,274,3.7,56.3,0.453
1.9,1158,-200,12.1,1052,111,649,83,1785,1353,27,42.8,1503
1,1017,-200,2.4,613,131,919,104,1007,551,8,65,0.6991
1.6,974,-200,4.9,757,254,886,155,884,723,6,42,0.3962
1.4,946,-200,5.3,780,249,945,99,1142,801,15.2,50.1,0.858
1.7,1007,-200,9.8,971,120,866,106,1682,802,31.3,28.7,12885
-200,833,-200,2.7,632,120,1107,78,834,760,5.1,46.5,0.4125
1.6,-200,-200,-200,-200,72,-200,77,-200,-200,-200,-200,-200
2.8,1490,-200,19.6,1286,188,593,97,2053,1447,16.6,55.9,10486
0.3,985,-200,6.1,816,107,987,65,1677,799,17.3,78.6,15412
4.7,1470,-200,25.8,1450,677,481,182,1706,2015,14,53,0.8451
2.1,1064,-200,12.6,1069,193,766,109,1766,1089,30.4,26.4,1131
-200,892,-200,4.1,719,-200,918,-200,1019,635,12,44,0.6169
2.4,1087,-200,14.1,1121,429,711,134,1177,1209,10.7,34.2,0.439
0.3,716,-200,0.7,461,9,1795,16,1235,350,19.5,46.3,10363
7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403
0.6,866,-200,3.6,686,55,1135,48,1405,741,12,68,0.9547
-200,1025,-200,4.9,761,-200,1008,-200,1476,700,18.8,46.4,0.9968
2.7,1043,-200,14.1,1121,149,736,126,1793,967,24.5,35.7,10807
2.4,1116,-200,14.1,1120,150,724,124,1854,1035,34.8,22.8,12488
4,1303,-200,40.2,1776,-200,946,-200,1467,1608,20.4,35.7,0.844
1,839,-200,2.3,608,191,1040,115,780,475,3.3,45.2,0.354
1.5,953,-200,5.2,771,248,905,145,936,895,6.6,42.6,0.4179
1.1,911,-200,4.2,719,-200,947,-200,1170,839,11.6,73.4,0.999
2.8,1515,-200,12.5,1066,345,508,140,1430,1548,8.9,81.3,0.9277
1.1,-200,-200,-200,-200,53,-200,71,-200,-200,-200,-200,-200
1.6,1134,-200,6.6,840,103,1021,96,1501,917,11.9,71.1,0.9915
-200,1018,-200,7.5,879,-200,950,-200,1574,685,18.5,45.5,0.9606
2.5,1155,-200,16,1181,167,580,82,1850,1302,24.3,47.8,14321
1.2,1045,84,4.8,751,79,1186,75,1403,800,10.4,59.2,0.7455
-200,1097,-200,5.3,779,-200,980,-200,1565,803,15.5,67.4,1178
1.3,987,116,4.3,727,73,1213,70,1244,502,18.2,28.3,0.5848
-200,1421,-200,22.1,1354,279,545,194,2063,1854,33.9,26.8,1397
1.7,976,-200,8.2,909,103,878,97,1675,830,25.8,40.9,13389
2.2,1076,-200,13.6,1105,169,762,120,1782,959,33.5,22.9,11649
-200,1043,-200,8.9,934,61,929,47,1707,811,31.4,31.2,14127
0.8,889,21,1.9,574,-200,1680,-200,1187,512,7,62.3,0.6261
5.2,-200,-200,-200,-200,1089,-200,217,-200,-200,-200,-200,-200
0.2,918,-200,4.3,729,176,904,114,1014,639,9.4,53.6,0.6333
5,1346,-200,27.1,1481,441,602,174,2367,1681,23.9,44.4,13029
5.8,1527,-200,27.9,1502,-200,411,-200,1868,1727,6.2,76.8,0.7355
-200,1247,-200,14.3,1127,127,664,135,1761,1366,30.2,30.8,13008
1.4,1050,105,5.1,769,60,1078,79,1409,759,12.3,57.8,0.8224
1.2,990,-200,3.9,705,217,873,139,913,772,9,41.4,0.4775
3.8,1289,-200,13.6,1104,531,623,165,1257,1499,5.2,67.8,0.6028
0.7,914,-200,5.9,809,69,912,69,1530,807,20.5,49.3,1176
4.3,1140,-200,19.7,1289,294,634,162,1884,1390,27.3,27.1,0.967
1.4,1443,-200,16.9,1207,645,502,208,1431,1673,6.9,76.9,0.7682
0.7,786,-200,2.8,642,39,1057,48,1270,592,20.2,47.1,11021
4.2,-200,-200,-200,-200,845,-200,190,-200,-200,-200,-200,-200
1.8,1037,-200,10.4,993,168,779,104,1680,1158,19.7,44.1,10039
4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451
0.9,936,-200,4.4,730,48,864,38,1551,726,27.7,52.6,19202
0.5,780,-200,2.5,621,26,1277,42,1452,586,20.5,54.3,12926
3.1,1397,-200,15.3,1159,134,681,100,1949,1207,20.2,52.9,1234
-200,1038,-200,8.6,925,-200,746,-200,1534,714,35.6,22.6,12984
4,1291,-200,25.2,1434,306,526,151,2239,1494,22.9,47.9,13208
2.9,1329,375,16.2,1185,140,768,121,1750,1111,28.4,26,0.9922
1.7,1022,-200,6.9,854,285,771,187,941,926,10.5,27.8,0.3525
0.5,835,-200,2.8,638,-200,997,-200,1526,715,24.3,65.1,19475
