Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
08/06/2004,03.00.00,0.4,746,-200,1.7,565,-200,1369,-200,1423,608,20.9,52.5,12852
25/06/2004,22.00.00,2.6,1054,-200,13.8,1110,174,765,130,1670,1167,25,28.7,0.8944
08/06/2004,01.00.00,0.7,825,-200,4.2,720,38,1129,55,1511,678,21,51.9,12794
13/12/2004,22.00.00,2,1147,-200,10.9,1012,347,665,120,1214,1381,10.1,66.2,0.8185
24/03/2004,17.00.00,2.8,1353,320,13.4,1096,195,774,130,1783,1159,11.7,69.1,0.9497
17/04/2004,19.00.00,-200,1097,-200,7.8,892,-200,909,-200,1594,833,16.1,56,10151
08/06/2004,17.00.00,3.5,1220,-200,21.4,1334,176,695,183,2066,1215,36.6,20.6,12445
11/03/2004,06.00.00,0.7,1052,16,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353
21/07/2004,10.00.00,-200,1421,-200,22.1,1354,279,545,194,2063,1854,33.9,26.8,1397
23/03/2004,07.00.00,1.1,1061,60,4.6,745,103,1178,88,1429,616,9.8,75,0.9093
03/05/2004,06.00.00,1.3,1147,-200,8.2,906,152,815,80,1687,1126,16,65.8,11844
26/05/2004,04.00.00,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
04/02/2005,01.00.00,1.2,1055,-200,5.1,771,217,781,147,1030,1174,5.1,65.4,0.5797
22/05/2004,04.00.00,-200,951,-200,4,713,42,994,58,1385,821,16.9,49.8,0.9544
19/08/2004,07.00.00,1.4,1083,-200,7.8,889,72,725,56,1734,918,27.6,52.1,18936
26/01/2005,01.00.00,-200,788,-200,0.9,487,55,1346,49,769,329,4,47.8,0.3939
04/06/2004,22.00.00,2,1016,-200,10,977,-200,951,-200,1652,948,22.4,41,11006
24/05/2004,15.00.00,1.2,895,-200,7.5,878,109,1122,81,1238,607,25.8,12.9,0.4219
21/12/2004,09.00.00,5.5,1179,-200,23.5,1390,755,567,198,1453,1459,6.5,38.1,0.3709
11/12/2004,17.00.00,2.5,1042,-200,11.5,1031,369,756,131,1094,1084,16.1,23.4,0.4248
06/06/2004,18.00.00,1.2,880,-200,5.9,807,79,1123,72,1510,599,23.9,36.8,10774
12/01/2005,00.00.00,1.2,1208,-200,9.6,964,399,602,127,1305,1350,12,66.6,0.9293
04/05/2004,19.00.00,4.7,1405,-200,22.1,1353,227,602,125,2185,1296,17.2,68.3,13289
07/12/2004,16.00.00,2.6,1181,-200,14.1,1121,356,629,117,1466,1236,17.7,51.5,10315
12/06/2004,16.00.00,1.4,1082,-200,9,939,76,869,84,1678,818,36.4,21,12515
10/01/2005,23.00.00,1.7,1177,-200,7.3,871,244,660,116,1292,1192,12.7,69.9,10223
15/12/2004,13.00.00,4,-200,-200,-200,-200,820,-200,169,-200,-200,-200,-200,-200
18/06/2004,04.00.00,0.3,740,-200,1.8,568,19,1259,32,1404,510,22.8,48.1,13184
14/04/2004,03.00.00,0.4,839,60,1.9,576,-200,1325,-200,1285,759,10.7,64.4,0.8284
07/04/2004,11.00.00,1.5,1016,110,6.6,839,119,991,97,1448,790,16.6,44.3,0.8294
22/01/2005,19.00.00,0.4,1100,-200,12.2,1057,391,687,167,1126,1241,12.2,28.7,0.4077
06/02/2005,19.00.00,1.6,985,-200,4.5,736,227,891,165,875,774,6,38,0.3584
21/12/2004,05.00.00,0.3,716,-200,0.7,473,54,1595,41,734,343,4.7,41.4,0.3576
16/04/2004,09.00.00,2.6,1150,251,9.9,973,186,827,105,1590,1188,15.3,51.4,0.8886
22/04/2004,19.00.00,-200,1527,-200,35,1664,-200,587,-200,2238,1775,23.8,29.5,0.8559
22/05/2004,13.00.00,2,1246,-200,12.6,1070,104,770,84,1747,1064,27.9,28.1,10394
05/05/2004,13.00.00,3.7,1303,-200,19.7,1288,202,618,114,2116,1236,16.8,66.8,12691
24/01/2005,21.00.00,0.3,872,-200,3.6,689,142,970,107,866,631,6.6,43.2,0.4247
16/05/2004,16.00.00,1.4,1217,-200,9.2,947,66,887,85,1566,648,31.2,24.6,10987
22/02/2005,06.00.00,0.9,987,-200,2.6,628,170,929,117,1035,691,3.4,84.5,0.664
08/07/2004,04.00.00,-200,969,-200,5.1,769,43,866,60,1485,1063,24.5,40.4,12251
05/04/2004,20.00.00,3.1,1378,436,13.6,1102,157,742,116,1796,1273,17.9,49.4,10064
20/08/2004,22.00.00,-200,1013,-200,8.3,913,-200,717,-200,1685,785,27.5,50.4,1823
10/02/2005,09.00.00,3.8,-200,-200,-200,-200,540,-200,289,-200,-200,-200,-200,-200
17/12/2004,01.00.00,4.3,-200,-200,-200,-200,798,-200,161,-200,-200,-200,-200,-200
11/08/2004,03.00.00,0.5,906,-200,3,650,-200,961,-200,1581,768,26.9,60.3,21074
27/05/2004,23.00.00,-200,1038,-200,9.6,961,-200,1026,-200,1530,949,19.4,38.1,0.8511
30/07/2004,14.00.00,-200,1031,-200,10.5,995,93,752,118,1580,694,36.9,21.8,13384
30/06/2004,03.00.00,0.7,901,-200,3.7,697,-200,952,-200,1586,800,26.8,51.9,18058
14/01/2005,07.00.00,1.4,1079,-200,7.3,869,374,732,110,1160,1039,5.7,79.3,0.7326
16/06/2004,21.00.00,2.5,1075,-200,12.9,1079,166,764,117,1798,1111,24.4,40,12079
03/12/2004,14.00.00,3.3,1332,-200,18.1,1242,460,524,138,1716,1608,17.9,66.3,13499
13/12/2004,21.00.00,2.9,1263,-200,15.5,1164,508,581,147,1338,1587,10.6,64.1,0.8182
30/01/2005,09.00.00,0.7,843,-200,1.2,520,113,1202,85,762,450,3.3,42.3,0.3299
10/05/2004,23.00.00,1.1,953,-200,6.4,830,88,986,86,1521,860,16,56.5,10166
01/06/2004,11.00.00,1.6,1173,-200,12.4,1063,201,814,86,1905,1218,20.4,63.1,14969
27/08/2004,16.00.00,1.6,-200,-200,-200,-200,96,-200,92,-200,-200,-200,-200,-200
18/12/2004,06.00.00,1,988,-200,5.2,774,206,842,89,1189,841,10.4,77.3,0.9709
05/02/2005,18.00.00,0.9,926,-200,4.3,725,195,933,142,847,694,7.2,35,0.3567
11/06/2004,23.00.00,1.3,936,-200,7.3,871,108,990,97,1430,921,24.9,27.2,0.8429
25/05/2004,07.00.00,1.1,1002,-200,8.8,932,101,949,82,1405,917,15.2,31,0.5329
15/05/2004,22.00.00,1.6,1101,-200,9.9,972,95,879,97,1552,1001,20.2,34.3,0.8017
25/08/2004,03.00.00,0.5,815,-200,2,584,-200,1102,-200,1363,513,24.5,50.9,15416
30/03/2004,21.00.00,1.3,1073,95,4.7,746,73,1072,84,1360,789,15,46.1,0.7833
23/01/2005,04.00.00,-200,969,-200,5.5,788,224,854,139,938,1006,4.2,50.8,0.4234
01/02/2005,03.00.00,0.9,1000,-200,3.3,670,-200,868,-200,917,1158,3.7,57.5,0.4621
19/02/2005,03.00.00,1.2,966,-200,3.9,703,-200,865,-200,903,989,2.2,59.6,0.4333
10/01/2005,21.00.00,3.3,1361,-200,14.6,1137,449,503,136,1526,1471,13.2,69.1,10452
29/01/2005,17.00.00,1.3,911,-200,3.4,676,167,998,115,855,555,4,44.9,0.3689
13/05/2004,12.00.00,1.9,1066,-200,8.7,927,138,846,97,1608,804,17.2,52.8,10236
06/07/2004,17.00.00,3.8,1179,-200,22.5,1364,306,661,192,1845,1265,39.5,12.6,0.8894
04/04/2004,14.00.00,-200,1136,-200,5.6,792,-200,1057,-200,1476,536,25.8,31.1,10143
04/08/2004,21.00.00,-200,943,-200,5.7,798,-200,846,-200,1571,743,27.6,45.2,16479
07/07/2004,14.00.00,2.2,1090,-200,14.1,1120,195,743,130,1629,1283,42.5,10.2,0.8478
