Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
02/09/2004,07.00.00,2.9,1236,-200,20,1297,93,542,27,1997,1321,21.6,57.2,14607
03/09/2004,09.00.00,-200,1300,-200,20,1296,-200,489,-200,1989,1639,26.7,45.7,15747
17/09/2004,19.00.00,3.1,1082,-200,15.9,1178,341,733,129,1605,1077,22.8,42.5,11608
18/01/2005,12.00.00,4.4,1488,-200,21.4,1336,999,479,211,1483,1985,5.1,64.3,0.5697
02/12/2004,17.00.00,4.9,1516,-200,24.8,1423,774,455,151,1881,1688,16.7,67.3,12707
24/04/2004,08.00.00,2.5,1311,305,15,1147,166,681,86,1838,1351,16.7,51.9,0.9788
10/04/2004,18.00.00,2,1037,165,8.7,927,122,949,111,1426,740,18.3,31.6,0.6562
16/05/2004,20.00.00,2.4,1238,-200,10.6,999,129,833,118,1648,1013,23.7,39.4,11381
12/05/2004,08.00.00,5.9,1754,-200,37.4,1716,333,452,110,2667,1895,17,56.8,10909
08/04/2004,16.00.00,1.9,1085,209,10.7,1004,106,888,95,1454,816,21,25.4,0.6264
11/12/2004,05.00.00,0.8,860,-200,2.4,616,104,1105,76,873,754,10.5,37.8,0.4799
13/02/2005,05.00.00,2.9,1491,-200,11.5,1031,373,515,153,1387,1541,8.5,82.9,0.9243
02/01/2005,11.00.00,2.2,1139,-200,7.5,879,372,753,141,1092,1201,6.6,56.6,0.5528
16/01/2005,07.00.00,1.4,1011,-200,5.4,783,255,835,118,1013,1026,3.9,67.1,0.5483
22/02/2005,08.00.00,3.8,1408,-200,16.7,1200,687,490,295,1523,1369,4.1,82.7,0.682
17/02/2005,12.00.00,1.3,1011,-200,4.4,732,236,830,147,944,826,8.7,42.5,0.4787
02/01/2005,03.00.00,1.3,1004,-200,4.5,739,-200,868,-200,1004,1030,3.1,70,0.5388
