@relation 'teste 09-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.3,932,-200,3.5,685,186,996,130,820,670,4,39,0.3203
-200,1121,-200,10.7,1003,-200,656,-200,1323,1058,14.3,48.6,0.79
2.9,1209,-200,11.4,1028,425,619,243,1264,1254,4.2,79.7,0.6647
0.8,975,38,2.2,598,63,1268,73,1293,536,13.4,56,0.8576
2.6,1152,-200,13.6,1104,145,725,99,1860,1023,21.5,47.9,12178
3.4,1464,-200,18.4,1251,372,530,136,1853,1487,26.4,45.4,1.54
1,996,-200,2.5,620,118,928,94,946,570,10.6,45.8,0.5838
2,1186,-200,8.5,921,295,660,138,1310,1040,16.3,51.5,0.9462
0.3,667,-200,0.4,429,57,1793,39,790,291,10.7,36,0.4623
-200,922,-200,4.5,737,-200,1050,-200,1414,882,13.1,62.6,0.9419
3,1147,-200,12.7,1073,720,628,210,1415,1198,11.8,76.1,10516
0.7,888,-200,1.1,511,71,1112,66,963,512,3.9,83.1,0.6787
8.6,-200,-200,-200,-200,1235,-200,227,-200,-200,-200,-200,-200
0.5,862,-200,3.4,677,96,973,43,1192,725,16.1,69.3,12591
2,1243,178,8.7,928,109,852,100,1622,1079,17.5,50.9,1009
3.2,1182,-200,15.8,1175,461,637,171,1363,1463,13.4,40.4,0.6178
1.2,827,-200,5.1,768,233,972,103,1040,671,13,40.1,0.5989
2,1124,-200,9,939,292,737,118,1126,1317,11.2,45.1,0.6004
-200,1282,-200,13.7,1107,-200,682,-200,1791,1116,29.9,45.6,18942
2.6,1215,-200,15.1,1150,282,608,118,1733,1115,30.4,37.2,1588
1.8,1130,-200,5.8,803,267,772,127,1230,975,13.9,60.9,0.9644
2.5,1181,-200,10.2,985,433,629,120,1312,1240,8.5,76.9,0.8557
1.6,981,-200,10,978,79,857,72,1682,835,17.7,56.9,11392
-200,1410,-200,21.6,1340,-200,533,-200,1841,1414,30.8,31.8,13908
-200,1035,-200,4.8,755,-200,997,-200,1521,608,15.6,65.8,11577
0.9,915,-200,2.1,589,105,1045,90,813,550,6.9,39.6,0.3966
5.3,1606,-200,30.9,1573,688,419,175,2165,1900,24.9,50,15522
1.2,1197,38,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848
-200,1092,-200,9.2,946,-200,691,-200,1234,1043,12.7,56.7,0.8304
-200,1005,-200,7.9,894,-200,956,-200,1530,714,23.8,31.4,0.9132
2.4,1119,-200,10.2,984,311,688,90,1539,1082,20.1,66.7,15548
0.8,831,-200,2.5,620,-200,1164,-200,1039,545,6.5,83.5,0.8116
5.6,1354,-200,16.7,1201,588,529,193,1593,1538,16.1,59.2,10736
-200,832,-200,2.2,598,-200,1122,-200,912,537,9.7,46,0.5546
2.9,1534,93,11,1013,190,889,129,1611,1535,13.9,53.6,0.8498
2.7,1055,-200,10.8,1007,457,736,145,1301,1019,10.5,62.2,0.7923
2.8,1331,-200,16.5,1194,326,559,92,1715,1477,22.3,57.1,15219
5.5,-200,-200,-200,-200,1182,-200,236,-200,-200,-200,-200,-200
-200,906,-200,3.3,672,-200,948,-200,1377,742,20.1,65.3,15153
2.6,1263,-200,14.8,1143,-200,578,-200,1736,1310,26.6,49.3,16872
3.2,1324,-200,13.1,1086,149,692,113,1903,1189,19.3,63.1,14028
6.8,1578,-200,32.3,1605,1247,429,211,2032,1643,9.9,83.4,10194
-200,747,-200,0.2,390,20,1775,20,738,266,3.3,52.8,0.4137
1.8,969,-200,9.6,962,244,829,107,1316,856,23.3,28.3,0.8012
1.3,1021,-200,4.8,755,207,807,143,980,763,8.9,46.1,0.5256
1.4,1009,-200,3.3,671,148,877,112,1010,610,6.7,62.8,0.6188
1.9,1208,-200,6.9,853,98,1060,89,1506,647,20.3,38,0.8942
1.1,915,-200,3.7,695,192,883,86,1094,826,6.2,82.1,0.7825
4,1261,-200,14.8,1143,452,595,186,1208,1477,8.3,39.5,0.4318
2.2,1016,-200,10.5,995,117,857,96,1642,854,13.9,62.7,0.9905
0.7,858,-200,2.2,597,141,1054,104,857,690,9,37.3,0.4297
1.8,1078,137,8.8,932,99,905,100,1511,951,18.9,40.6,0.8771
4,1073,-200,16.5,1195,575,675,177,1249,1244,14.6,23.7,0.3903
2.2,1239,-200,12.5,1067,146,779,117,1702,1071,28.6,25.8,0.9989
-200,1250,-200,10.7,1003,-200,647,-200,1638,1217,23.5,54.5,15553
1.9,998,-200,8.5,920,241,802,103,1365,1042,16.6,51.3,0.9634
