Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
06/12/2004,05.00.00,0.7,881,-200,2.3,602,108,1034,58,1157,685,11.8,81.4,11238
09/09/2004,19.00.00,4.3,1329,-200,22.3,1360,435,704,175,1768,1894,31.2,25.5,11379
08/02/2005,10.00.00,2.2,1114,-200,8.6,922,410,689,225,1022,1223,8.7,36.3,0.4074
30/09/2004,08.00.00,-200,1610,-200,36.3,1692,-200,436,-200,2197,1866,18.5,55.9,11779
02/09/2004,10.00.00,-200,1203,-200,15.8,1174,-200,577,-200,1824,1426,30.8,34.8,15165
31/12/2004,21.00.00,-200,974,-200,5.5,790,-200,915,-200,895,951,9.1,32.5,0.3766
04/04/2004,16.00.00,-200,1345,-200,10.5,996,-200,841,-200,1678,833,24.4,36,1085
29/12/2004,12.00.00,-200,938,-200,4.3,729,-200,874,-200,1060,702,11.1,55.3,0.7325
26/02/2005,18.00.00,2.8,987,-200,4.2,723,185,863,126,974,684,6.4,61.7,0.5956
25/12/2004,08.00.00,2,1268,-200,8.6,926,281,645,122,1247,1628,9.1,69.6,0.8045
19/09/2004,18.00.00,3.8,1254,-200,16.8,1204,413,668,179,1655,1338,30,31.4,13074
27/11/2004,08.00.00,2.5,1298,-200,11.1,1017,398,727,110,1418,1193,13.7,76.3,11932
05/02/2005,08.00.00,3.1,1263,-200,12.7,1074,708,614,283,1198,1403,2,63.6,0.4564
19/04/2004,03.00.00,-200,850,-200,1.7,562,-200,1275,-200,1407,589,13.1,78.3,11716
14/09/2004,05.00.00,-200,936,-200,5,765,-200,916,-200,1462,941,20.6,62.9,15088
30/05/2004,18.00.00,0.9,963,-200,7.7,885,84,1102,90,1447,695,29.2,19.6,0.7817
26/03/2004,17.00.00,2.3,1180,247,11.2,1023,127,886,102,1588,966,14.2,43.3,0.6982
14/02/2005,07.00.00,0.7,858,-200,2.2,597,141,1054,104,857,690,9,37.3,0.4297
29/01/2005,10.00.00,1.1,879,-200,2.8,642,140,1027,101,836,545,2.5,51,0.3778
20/04/2004,23.00.00,-200,1089,-200,9,940,-200,866,-200,1589,1001,14.2,59.1,0.952
23/10/2004,20.00.00,4.1,1413,-200,17.7,1231,460,520,117,1853,1415,21.6,67.7,17228
19/03/2004,15.00.00,3.5,1410,-200,19,1268,212,724,139,1957,1344,16.4,47.5,0.8791
09/01/2005,22.00.00,1.5,1115,-200,5.8,804,223,734,131,1220,1136,14.3,59.2,0.9608
07/02/2005,10.00.00,2.1,1102,-200,7.9,896,346,720,222,969,1226,7.5,33.8,0.352
20/10/2004,08.00.00,-200,1715,-200,37.9,1728,-200,371,-200,2376,2004,19.9,69.9,16036
27/09/2004,09.00.00,1.8,951,-200,8.2,908,275,873,94,1314,904,19.7,40.2,0.9108
18/03/2004,01.00.00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975
13/01/2005,23.00.00,1.8,1141,-200,7.8,892,244,686,101,1213,1141,8,73.4,0.7899
12/05/2004,04.00.00,-200,872,-200,2.7,632,37,1132,47,1403,768,15.6,62.2,10961
24/12/2004,01.00.00,3.9,1352,-200,14.6,1137,610,567,174,1234,2016,5.1,59,0.5248
04/01/2005,11.00.00,3.3,-200,-200,-200,-200,608,-200,196,-200,-200,-200,-200,-200
03/10/2004,05.00.00,-200,906,-200,3.3,672,-200,948,-200,1377,742,20.1,65.3,15153
07/05/2004,16.00.00,2.3,1052,-200,9.4,956,140,869,116,1600,725,14.2,60.5,0.9765
25/09/2004,11.00.00,1.5,915,-200,6.5,834,168,1006,66,1243,686,19.1,37,0.8104
31/10/2004,13.00.00,1.8,1141,-200,8.8,932,226,689,71,1595,1014,22,67,17441
