Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
05/12/2004,00.00.00,2.4,1096,-200,6.3,826,378,795,103,1285,911,13,79.2,1182
01/12/2004,07.00.00,1.4,1007,-200,7,857,301,1699,96,1248,921,8.7,80.8,0.9096
04/12/2004,03.00.00,2.1,1062,-200,8.2,906,-200,724,-200,1305,1004,11.6,80.1,10899
04/02/2005,06.00.00,0.7,989,-200,3.9,703,194,843,122,988,1017,1.8,74.5,0.5271
15/01/2005,04.00.00,-200,978,-200,4.8,756,266,834,115,1015,878,2.4,86.6,0.6369
04/10/2004,11.00.00,-200,1374,-200,21.8,1346,-200,519,-200,1910,1614,24.2,49,14586
20/12/2004,03.00.00,0.9,883,-200,2,583,-200,1116,-200,1019,710,9.5,69.9,0.8298
15/10/2004,19.00.00,-200,1123,-200,14.1,1119,-200,648,-200,1593,1198,20.1,53.6,12477
16/01/2005,14.00.00,0.8,819,-200,1.9,576,114,1142,85,809,492,11.4,32,0.431
12/05/2004,22.00.00,1.3,970,-200,5.2,773,87,1026,91,1425,658,16.1,52,0.946
02/05/2004,06.00.00,0.7,866,-200,3.6,689,57,1138,45,1456,767,13.1,70.2,10554
10/01/2005,23.00.00,1.7,1177,-200,7.3,871,244,660,116,1292,1192,12.7,69.9,10223
24/01/2005,03.00.00,-200,881,-200,1.9,578,-200,1017,-200,876,607,5.8,59,0.5493
30/11/2004,16.00.00,3.8,1310,-200,20.2,1301,496,746,149,1694,1350,14.6,56.6,0.9367
30/11/2004,13.00.00,1.9,1071,-200,9.4,955,232,940,103,1311,977,14.9,59.9,10063
23/12/2004,11.00.00,4,1211,-200,15.9,1177,667,620,179,1221,1585,6.6,42.5,0.416
16/05/2004,18.00.00,1.8,1242,-200,9.9,973,99,856,106,1632,819,26.8,33.5,11602
27/03/2004,07.00.00,1.1,976,42,3.3,669,68,1270,65,1266,795,7.2,62.9,0.6396
28/11/2004,18.00.00,3.2,1218,-200,10.1,981,452,677,113,1335,1258,9.6,76.5,0.9184
07/11/2004,16.00.00,0.9,789,-200,3.4,675,95,1121,50,974,482,16.8,32.1,0.6073
