Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
09/11/2004,08.00.00,-200,1228,-200,22.4,1362,-200,575,-200,1543,1399,4.9,70.7,0.6193
13/01/2005,03.00.00,1.6,1027,-200,6.3,824,-200,753,-200,1171,969,6.9,80.7,0.8054
19/11/2004,08.00.00,4.8,1478,-200,20.5,1310,633,492,194,1775,1542,14.7,63.1,10513
10/11/2004,05.00.00,0.2,726,-200,0.5,443,29,1663,26,942,363,8.1,68.6,0.7409
28/09/2004,01.00.00,0.8,802,-200,3.5,680,105,1091,73,1137,756,15.3,51.9,0.8982
30/01/2005,08.00.00,0.5,805,-200,0.7,465,74,1358,62,736,382,2.7,43.2,0.3259
28/11/2004,16.00.00,2.7,1214,-200,8.6,922,326,741,117,1273,1124,13.3,63.3,0.9597
21/01/2005,06.00.00,1.6,1206,-200,9.2,948,357,628,121,1129,1540,5.9,65.8,0.6178
14/04/2004,21.00.00,-200,1320,-200,13,1085,-200,730,-200,1689,1440,14.8,49.7,0.8321
11/01/2005,06.00.00,0.9,1047,-200,3.3,671,115,863,75,1147,887,12,69.2,0.9697
23/04/2004,11.00.00,3.8,1458,639,22,1350,240,677,169,1947,1731,26.9,25.7,0.8942
22/03/2004,13.00.00,2,1102,-200,10.4,994,107,955,87,1599,783,21.3,28.1,0.7067
10/05/2004,13.00.00,2.2,1105,-200,12.9,1080,139,751,104,1758,981,20.8,40.6,0.9888
21/12/2004,06.00.00,0.6,791,-200,2.2,598,176,1186,97,802,608,4.3,43.9,0.3675
19/01/2005,19.00.00,2.2,998,-200,7,858,256,770,135,1109,857,8.6,53.6,0.5992
06/12/2004,01.00.00,0.9,901,-200,3.2,662,125,1034,66,1127,678,13.3,63.6,0.9673
06/02/2005,18.00.00,1.1,925,-200,2.9,649,186,1003,142,819,570,6.9,36.4,0.3635
29/05/2004,00.00.00,1.8,1044,-200,9.2,946,138,1009,119,1594,886,19.3,46.3,10279
03/01/2005,23.00.00,1.5,-200,-200,-200,-200,268,-200,130,-200,-200,-200,-200,-200
