@relation 'teste 05-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.6309
1.5,1021,77,5.2,776,94,1144,87,1307,753,9.4,53.4,0.63
-200,1133,-200,6.2,823,-200,775,-200,1449,777,26.9,44.4,1551
3.4,1338,-200,20.3,1305,539,543,138,1929,1521,25.1,49.5,15572
-200,1343,-200,20.1,1299,-200,694,-200,1945,1542,23.7,30.6,0.8854
1.8,1182,-200,9.3,951,479,634,109,1327,1143,8.8,79.4,0.9033
1.6,981,-200,6.2,820,265,807,168,876,784,12.2,21.4,0.3033
3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41,0.7451
1.2,1025,67,3.5,682,88,1197,77,1313,537,10.3,65.2,0.8151
2.7,1257,-200,14.3,1126,361,581,93,1599,1300,19.1,64.4,1405
0.4,777,-200,2,585,-200,1305,-200,1266,510,20,59.1,13694
5.3,1606,-200,30.9,1573,688,419,175,2165,1900,24.9,50,15522
1.2,973,-200,3.4,675,184,903,94,1029,905,7.4,71.7,0.7434
2,1203,-200,11.9,1046,223,621,74,1664,1103,23.9,59.2,17327
1.3,973,-200,4.3,728,148,902,83,1004,854,3.5,80.8,0.6406
1.3,1011,-200,4.4,732,236,830,147,944,826,8.7,42.5,0.4787
2.7,1303,391,14.7,1139,152,790,126,1761,1138,24.7,30.5,0.9371
2.8,1307,277,12.9,1082,152,777,111,1769,830,14.3,58.2,0.9431
2.9,1278,-200,14.4,1130,436,580,129,1506,1471,15.4,59.6,10375
2.8,-200,-200,-200,-200,426,-200,165,-200,-200,-200,-200,-200
1.3,1008,-200,6.1,816,78,1015,72,1531,689,23.6,36.4,10431
2,1028,-200,12.3,1060,213,686,108,1601,806,33.3,24.4,1232
1.6,1037,-200,8,898,152,793,87,1539,836,22.2,64.9,1719
2.2,1134,111,7.1,863,120,869,88,1599,1009,12.5,81.8,11838
4.1,1507,-200,20.5,1311,177,608,114,2107,1499,19.8,54.5,12488
0.7,867,-200,2.5,618,-200,1042,-200,1231,488,27,34.3,12089
2,1018,-200,7.7,889,392,780,118,1085,1105,4.9,66.3,0.5786
3.2,1176,-200,17,1209,508,588,182,1264,1488,12.4,28.3,0.4076
2.3,1076,451,11.6,1034,150,964,101,1544,813,21.3,24.2,0.606
0.9,960,-200,5.8,804,198,802,49,1435,886,18.7,74.4,15861
0.6,768,-200,3.3,671,79,1128,46,1153,700,13.6,57.6,0.8941
5,1441,-200,20.6,1314,825,517,196,1389,2051,6.2,56.8,0.5421
4.6,1352,-200,16.4,1191,658,570,169,1362,1796,11.6,51.2,0.6965
0.2,726,-200,0.5,443,29,1663,26,942,363,8.1,68.6,0.7409
1.5,882,-200,6.3,826,280,952,125,910,799,7.9,36.4,0.3889
2,-200,-200,-200,-200,208,-200,144,-200,-200,-200,-200,-200
1.7,1071,-200,8.9,934,179,763,94,1504,942,22.5,53.7,14486
-200,945,-200,4.3,726,-200,1053,-200,1432,637,16.3,55.3,10146
2.4,-200,-200,-200,-200,325,-200,115,-200,-200,-200,-200,-200
-200,1520,-200,32.3,1604,-200,436,-200,2161,1672,18.5,60.3,12706
4.6,-200,-200,-200,-200,849,-200,161,-200,-200,-200,-200,-200
3.3,1551,-200,20.2,1303,435,469,99,1520,2171,13.5,51.5,0.793
-200,1078,44,4,711,66,1150,71,1468,1013,12.3,65.4,0.9351
2.1,971,-200,7.3,870,266,911,98,1287,798,19.6,36.3,0.8193
-200,1224,-200,19.1,1270,-200,806,-200,1739,1113,31.3,16.2,0.7262
-200,908,29,1.7,559,44,1477,66,1287,721,10.2,62.7,0.7813
3.4,1286,-200,19.6,1286,409,593,179,1728,1449,27.2,30.4,1081
0.8,835,-200,3.6,690,122,1183,71,1257,621,20.1,47.8,11144
-200,806,-200,1.5,544,-200,1429,-200,1290,449,9.5,79.7,0.9489
3.4,1374,-200,17.4,1222,602,516,160,1582,1671,13.7,66.8,10432
-200,814,-200,2,587,81,1146,68,876,840,4.2,54.8,0.4571
2.2,1077,-200,9.8,969,337,690,135,1405,1023,16.8,58.9,11199
2.2,1259,-200,12.9,1080,138,772,104,1736,1072,27.2,28.1,0.9989
0.9,861,-200,4.5,735,99,925,58,1287,789,16.9,72,13749
3.1,1472,422,14.3,1126,211,720,106,1816,1460,17,50.5,0.9684
2,1197,-200,9.3,950,110,823,118,1592,918,20.8,41.8,10155
0.5,814,-200,3.2,666,56,1029,34,1311,719,17.8,67.5,13674
-200,943,-200,7.2,864,-200,831,-200,1297,814,17.4,48.3,0.955
2.7,1146,-200,14.3,1125,363,846,149,1511,1016,33.4,20.3,1027
0.8,924,-200,3.3,673,28,1247,36,1346,430,28.8,22.7,0.8864
3.6,1257,-200,16,1179,455,818,134,1545,1415,19.4,47.1,1051
3,1317,-200,19.9,1295,891,593,172,1883,1592,26.1,46.4,15445
0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853
-200,1046,-200,7.3,872,-200,769,-200,1479,968,16.4,77.1,14243
1.7,1019,-200,5.5,788,226,828,85,1267,812,11.4,83.7,11278
1.5,1098,118,6.7,842,117,1012,85,1440,828,15.6,40.6,0.7146
0.7,966,-200,4.3,726,120,872,60,1371,892,19,70.3,15308
1.5,1024,-200,3.9,705,199,876,114,1168,807,11.5,74.2,10063
2.6,1186,-200,12.8,1077,346,797,121,1404,1328,18.6,49.3,10451
1.3,1050,-200,7.6,881,162,732,69,1363,982,17.8,66.9,13464
1.8,1090,-200,6.4,830,224,744,98,1125,1056,7.1,73.9,0.7515
5.1,1667,-200,26,1453,276,684,176,2051,1569,18.6,36.2,0.7676
1.3,912,-200,3.5,683,201,961,125,872,699,7,38.4,0.3861
-200,1478,-200,25.7,1447,-200,474,-200,2017,1664,21.2,62.2,15473
-200,843,-200,4.7,748,-200,999,-200,1179,505,22.1,35.2,0.9253
-200,961,-200,4.9,759,-200,943,-200,1375,799,22.4,53.6,14379
4,1418,542,19.5,1282,231,681,129,1890,1418,19.2,35.7,0.7826
0.2,1125,-200,4.9,758,167,820,104,1241,867,9.8,81.9,0.9923
2.9,1389,199,15.8,1173,190,898,133,1739,1363,28,19.1,0.7098
-200,-200,-200,-200,-200,191,-200,81,-200,-200,-200,-200,-200
2.6,1150,251,9.9,973,186,827,105,1590,1188,15.3,51.4,0.8886
2.2,1036,-200,9.7,965,342,854,91,1544,987,19.7,57.8,13112
2.7,1183,-200,8.8,930,317,669,112,1210,1179,7.6,73,0.7629
4.6,1446,-200,25.2,1434,442,522,190,2075,1619,31.6,34.8,15925
1.4,930,-200,6.6,838,189,957,78,1319,680,27.7,28.1,10272
2.6,1106,-200,14,1118,207,885,130,1451,1220,24.9,13,0.4038
1.5,1050,-200,8.4,916,-200,696,-200,1512,997,19.3,71.1,15746
1.7,1197,117,6.5,837,144,957,118,1498,965,11.5,71,0.9582
-200,1420,-200,13,1085,-200,755,-200,1756,1051,19.8,44.6,10208
-200,1459,-200,14.2,1124,-200,736,-200,1823,1300,19.9,47.5,10912
1.9,-200,-200,-200,-200,156,-200,123,-200,-200,-200,-200,-200
1.8,-200,-200,-200,-200,224,-200,152,-200,-200,-200,-200,-200
3.4,1318,450,14.2,1124,218,762,113,1770,1287,12.1,54.9,0.7734
1.5,896,-200,5.9,809,286,882,78,1257,788,15.4,53.2,0.9246
4.7,1405,-200,22.1,1353,227,602,125,2185,1296,17.2,68.3,13289
-200,974,-200,5.5,790,-200,915,-200,895,951,9.1,32.5,0.3766
-200,867,-200,4.4,734,48,1043,58,1324,808,14.6,51.4,0.8489
0.7,890,-200,4.3,727,151,917,50,1290,833,16.9,70.5,13504
3.5,1336,-200,21.1,1326,188,674,125,1923,1255,26.3,27.5,0.9306
4,978,-200,11.5,1031,341,765,149,1066,968,7.9,37.1,0.3974
3.9,1492,-200,17.8,1233,699,561,122,1672,1481,13.8,77.8,12201
4.3,1462,-200,12.9,1080,599,522,229,1274,1889,5.3,66.8,0.5979
0.6,806,-200,0.6,459,55,1322,50,728,368,3.1,44.4,0.342
1.7,1097,-200,7.8,892,287,719,167,979,1423,4.9,45.9,0.3999
2.4,1129,-200,11.4,1028,352,661,126,1480,1050,17.7,55.5,11127
2,1243,178,8.7,928,109,852,100,1622,1079,17.5,50.9,1009
4.2,1326,-200,28,1504,600,510,122,1968,1609,15.1,59,10086
1.2,967,84,3.1,661,61,1181,67,1321,463,12.2,66.8,0.9455
-200,987,-200,6.2,823,-200,827,-200,1027,893,7.2,50.2,0.5118
-200,975,-200,7.8,892,-200,1015,-200,1480,890,19.4,40.7,0.9045
3.1,1191,-200,12.7,1074,239,741,128,1816,1038,12.3,78.3,11154
1.9,1200,238,8.7,929,84,879,74,1623,972,26.9,32.1,11217
2.6,1292,-200,10.7,1003,170,789,108,1753,1163,19.9,54.9,12632
1.1,1024,-200,4,709,142,798,109,1120,884,9.8,61.2,0.7413
-200,744,-200,0.4,431,-200,1539,-200,778,345,7.4,45.7,0.4714
0.4,803,36,1.3,527,17,1513,25,1152,369,14.1,45.3,0.7247
1.4,989,-200,5.6,791,213,804,146,953,690,11.5,33.1,0.4479
3.3,-200,-200,-200,-200,608,-200,196,-200,-200,-200,-200,-200
-200,1248,-200,26,1454,-200,550,-200,1917,1599,36.1,20,11767
3.1,1378,436,13.6,1102,157,742,116,1796,1273,17.9,49.4,10064
2.2,1148,-200,12.4,1062,128,753,87,1825,1004,21.2,49.3,12271
0.6,705,-200,1.1,508,93,1494,54,820,329,12.4,32,0.4583
3.5,1273,458,14.4,1130,190,795,136,1744,1071,10.8,65.7,0.8486
4.1,-200,-200,-200,-200,670,-200,148,-200,-200,-200,-200,-200
0.4,814,-200,0.6,449,54,1363,50,674,328,3.7,37.5,0.3012
-200,1365,-200,14.8,1143,-200,655,-200,1796,1394,24.2,61.6,18381
1.7,1042,-200,6,814,287,746,105,1167,1036,8.4,75.9,0.8407
2.6,1312,-200,11.9,1047,374,545,126,1430,1399,13,70,1042
-200,1189,-200,11,1014,-200,641,-200,1553,1249,22.7,55.8,15218
5,1472,-200,24.5,1418,756,459,159,1681,1554,6.8,74.8,0.7423
2.6,1179,214,9.4,955,169,928,125,1571,899,10.3,66.3,0.8336
