@relation 'teste 08-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
-200,1332,-200,10.5,997,345,601,130,1304,1783,9.1,68.7,0.7925
3.3,1247,-200,16.9,1206,313,600,148,1785,1233,26.2,48.7,16256
0.7,856,-200,1.7,559,122,1138,92,810,556,4.1,47.4,0.3926
3,1200,-200,18.2,1246,553,798,136,1574,1416,19.7,37.5,0.8501
2.7,1366,-200,15.7,1171,132,693,103,1933,1068,24.5,39.4,11963
3.9,1328,-200,20.1,1300,654,499,301,1405,1672,4.4,61.1,0.5176
2.3,1097,-200,7.4,875,261,778,125,1080,1151,8.6,43.6,0.4887
3.5,1346,-200,17,1211,404,540,101,1674,1340,20.1,59.6,13852
4,1294,-200,21.2,1330,676,535,193,1363,1725,11.4,28.7,0.3865
2.1,1030,-200,12.3,1060,245,705,118,1588,852,35.5,21.2,12022
1.1,888,-200,2.4,611,150,1035,111,791,419,7.9,38.9,0.4141
1.8,890,-200,9.3,950,114,940,101,1460,655,19.8,29.7,0.678
2.4,1170,-200,8.4,917,385,652,227,1218,1205,5.6,81.2,0.7443
3.3,1217,-200,11.6,1036,459,661,146,1260,1171,4.7,82.3,0.7105
2.9,1261,-200,17,1210,173,736,126,1769,1200,30.9,19.1,0.8394
2,1135,-200,9.2,948,215,685,80,1569,992,17.6,80.5,16062
1.1,1000,-200,5.9,807,95,811,52,1376,825,25.3,46.7,14874
-200,917,-200,3.6,686,-200,933,-200,1304,805,18.3,68.5,14291
2.7,1378,-200,19.3,1277,192,628,94,1970,1519,17.1,46.5,0.901
7.4,-200,-200,-200,-200,1159,-200,257,-200,-200,-200,-200,-200
3.6,1328,-200,11.4,1029,622,637,172,1188,1611,8.1,54.1,0.5882
2.8,1366,-200,17.4,1223,308,578,121,1744,1288,26.1,42.6,14172
1.2,964,68,3.7,692,88,1176,82,1292,573,10.6,57.7,0.7362
1,892,66,3.2,665,55,1348,58,1150,394,21,23.6,0.5788
3,1303,437,14.8,1143,170,748,114,1734,1228,21.5,30.4,0.7677
