@relation 'teste 10-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
3,1162,-200,16.3,1188,303,676,136,1681,1125,30.2,30.2,12744
1.7,1039,-200,12.2,1055,131,966,117,1590,845,28,23.2,0.8613
3.2,-200,-200,-200,-200,418,-200,129,-200,-200,-200,-200,-200
-200,980,-200,4.6,744,174,840,119,979,970,2.8,70.9,0.5383
0.6,696,-200,1.3,532,96,1416,62,814,393,10.9,33.5,0.4378
0.9,1326,-200,13.1,1087,-200,571,-200,1333,1398,6.7,78.7,0.7779
1.9,1058,166,7.9,896,98,996,95,1358,603,17,28.9,0.5558
3.3,1408,-200,16.7,1202,492,506,151,1411,1774,12.7,45.5,0.6648
1,964,-200,4.3,730,243,985,71,1146,891,12.9,64.2,0.9506
1.4,1052,-200,5.1,766,169,1031,81,1302,796,13.8,80.4,12621
0.6,911,-200,2.2,599,32,1189,48,1517,633,16.1,80,14562
-200,1107,-200,7.2,864,-200,911,-200,1604,963,13.5,78.1,11997
1.4,1411,-200,16.4,1191,570,519,135,1426,1920,13.4,51.2,0.7808
1.3,907,-200,3.1,657,190,981,134,844,569,3.1,48.1,0.3707
1.1,1067,93,4.3,727,91,1055,82,1448,903,11.4,71.8,0.9671
4,1197,-200,13.6,1102,454,609,195,1309,1253,7.8,50.8,0.5384
0.6,811,-200,2.9,644,76,1144,44,1289,655,18.2,60.8,12567
6.5,1728,-200,35.9,1683,623,419,188,2365,1861,25.4,47.9,15346
1.8,927,-200,7.3,868,255,847,117,1155,864,12.7,51.2,0.7505
4.2,1102,-200,17.4,1221,484,609,212,1136,1329,10.7,19.9,0.2547
-200,1249,-200,18,1239,-200,540,-200,1953,1285,22,59.3,15523
0.7,791,-200,3.9,704,166,1057,69,1154,748,11.9,62.7,0.8726
2.2,1100,-200,11.2,1021,133,952,99,1607,822,21.3,26.1,0.6539
-200,1084,-200,6.1,816,226,776,94,1165,1126,7.9,81.8,0.8759
2.4,1100,-200,6.7,842,309,774,89,1296,882,12,80,11167
2.2,1036,-200,9.7,965,342,854,91,1544,987,19.7,57.8,13112
0.5,766,-200,0.5,448,33,1494,31,734,321,1,54.7,0.3657
1,937,-200,3.7,694,194,915,81,1054,817,6.5,79.7,0.7751
2.5,1153,279,12.5,1066,135,811,122,1651,1194,19.9,37.8,0.8675
10.2,1982,-200,49.5,1959,1369,322,227,2536,2386,13.2,72.6,10936
2.8,1270,-200,13.4,1098,558,572,123,1420,1463,10,83.6,10235
-200,915,-200,7.4,873,-200,873,-200,1135,915,3.7,76.2,0.6137
4.7,1339,-200,22.8,1373,536,541,165,1797,1585,21.6,43.3,11019
1.9,1046,150,7.6,883,113,1051,101,1357,765,17.8,28.4,0.5737
1.5,882,-200,10.4,993,302,902,141,941,862,14.7,15.5,0.2586
1,910,66,4,709,-200,1162,-200,1329,712,8.8,66,0.7501
2.6,703,-200,3.5,685,215,1218,117,734,641,10.8,17,0.2193
-200,1069,-200,7.2,865,-200,825,-200,1394,816,14.1,83.8,1346
2.6,1063,-200,5.1,769,183,807,122,993,1109,6.4,52.6,0.5074
0.7,940,-200,4.2,724,44,1012,68,1407,867,19.2,43.6,0.9591
1.4,1062,-200,6.2,822,224,764,113,1228,917,13.4,61.3,0.9379
0.2,698,-200,0.4,424,20,1665,18,903,339,10.8,50.9,0.657
1.1,900,-200,2.3,604,119,1051,92,815,469,2.9,49.7,0.3782
1.4,1014,-200,7.2,864,167,745,56,1474,1097,16.9,75.4,14393
-200,907,-200,3.2,665,-200,972,-200,1370,779,19.9,66,15141
1.5,1040,-200,8.1,903,145,782,92,1494,951,23,55.8,1548
1.3,1259,-200,15.1,1152,565,610,196,1165,1569,8.2,36.8,0.4016
5.9,-200,-200,-200,-200,700,-200,296,-200,-200,-200,-200,-200
1.3,970,-200,5.2,773,87,1026,91,1425,658,16.1,52,0.946
1.8,963,-200,4.7,749,251,900,173,834,869,4,39.2,0.3228
5,1411,-200,20.5,1311,707,487,159,1589,1537,6.5,80,0.7789
-200,1487,-200,27.6,1493,-200,492,-200,2345,1598,21.2,72.3,18007
2.7,-200,-200,-200,-200,418,-200,185,-200,-200,-200,-200,-200
-200,787,-200,0.6,452,-200,1400,-200,823,370,7.8,48.1,0.5095
3.4,1277,-200,13,1085,567,589,137,1329,1344,5.4,82.6,0.7495
1.3,921,-200,4.5,736,198,921,125,881,673,7.3,35,0.3584
3.8,1408,-200,16.7,1200,687,490,295,1523,1369,4.1,82.7,0.682
2.5,1241,-200,13.8,1110,147,772,130,1698,1177,22.3,32.1,0.8515
1.9,1053,155,7.5,880,116,982,91,1464,786,14.4,43.6,0.7113
-200,943,-200,6.1,816,-200,828,-200,1033,868,8.8,42,0.4773
2.4,1223,308,12.7,1075,164,818,112,1678,1198,19.3,34.2,0.7566
-200,850,-200,2.7,632,-200,954,-200,1316,803,24.2,50.6,15011
1.8,1139,-200,13.8,1109,159,1118,135,1436,1292,28.8,21.1,0.8193
3.8,1277,-200,19.3,1277,401,586,188,1846,1226,29.4,36.4,14718
0.4,850,-200,1.3,529,64,1183,56,780,385,6.1,40.8,0.3868
1.9,1021,-200,10.2,985,339,816,107,1524,977,23.3,46.2,1301
4,1123,-200,13.8,1110,575,732,185,1152,1322,6.3,42.6,0.4106
2.6,1177,-200,13.2,1090,298,612,86,1632,1209,26.3,43.6,14663
-200,875,-200,4,713,-200,1027,-200,1436,809,19.4,73.4,16417
-200,1228,-200,22.4,1362,-200,575,-200,1543,1399,4.9,70.7,0.6193
2.2,1143,-200,9.5,960,313,641,153,1110,1136,7.4,44.5,0.4582
2.1,1223,-200,10,979,455,658,224,1120,1332,6,46.4,0.4367
-200,1005,-200,6.4,829,242,779,71,1246,944,11.6,79.7,10858
1,1002,-200,3.9,704,105,1472,69,1202,752,16,61.6,11127
1.1,921,-200,5.2,771,162,850,120,885,632,13,27.4,0.4085
3.5,1243,-200,25,1429,227,687,161,2093,1367,26,34.6,11485
-200,1039,-200,6.4,828,292,791,162,987,1115,5,47.5,0.418
1.6,1013,-200,8.1,905,-200,816,-200,1201,923,11,58.8,0.7705
1.8,-200,159,-200,-200,118,-200,97,-200,-200,-200,-200,-200
-200,1269,-200,17.2,1215,-200,608,-200,1939,1296,26.3,56.5,19018
0.7,941,-200,1.5,541,101,1065,81,919,520,8,53.8,0.5796
3.2,1194,-200,12.3,1061,459,622,182,1257,1473,12.3,46.3,0.6597
6.6,1462,-200,18.8,1263,750,510,170,1421,2082,6.7,59.7,0.589
0.8,911,-200,4.8,753,103,934,55,1496,865,21.9,67.1,17394
3.1,1341,454,15.9,1176,167,748,135,1825,1347,22.9,33.8,0.9322
-200,1274,-200,15.3,1159,-200,545,-200,1493,1326,10.6,67.9,0.8666
-200,1425,-200,18.5,1255,-200,516,-200,1864,1500,23.5,53.4,15241
1.9,1200,238,8.7,929,84,879,74,1623,972,26.9,32.1,11217
2.5,1288,-200,9.4,956,340,623,121,1272,1553,9,70.8,0.8173
2.7,1334,301,11.9,1047,129,815,106,1638,1038,15.9,42,0.7541
7.3,1875,1189,33.7,1637,351,482,158,2446,2086,17.4,47.8,0.9392
2.6,1180,-200,13.1,1088,-200,619,-200,1662,1339,29.5,33.4,13562
1.4,1002,-200,6.9,854,104,818,71,1513,779,21.4,68.5,17261
1.1,892,-200,3.3,668,180,1017,121,872,632,10.3,35,0.4377
5.7,1606,-200,31.2,1578,665,440,81,2205,1786,19.4,66.5,14801
1.3,1111,-200,5.3,777,228,760,143,1137,1024,12.5,47.8,0.6877
4.6,1475,-200,22,1351,294,625,165,2006,1696,21,41.1,10104
1.2,925,-200,5.1,768,119,987,70,1289,541,31.1,26.1,1163
2,1051,-200,6.2,820,285,778,122,1087,1009,4.8,79.4,0.6872
2.4,-200,-200,-200,-200,226,-200,128,-200,-200,-200,-200,-200
3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806
-200,884,-200,0.9,489,-200,1536,-200,1278,436,16,54,0.9742
0.6,960,-200,1.3,532,66,1059,60,1122,724,12.9,70.4,10444
3,1267,-200,18.7,1260,383,572,82,1776,1259,16.2,75.9,13872
3.9,1377,-200,20.6,1313,191,612,109,2120,1220,18.3,62.8,13127
1.1,904,-200,2.3,608,134,1033,100,807,398,8.3,40.3,0.4431
3.4,1351,375,16.7,1201,239,783,110,1828,1307,9.8,59.6,0.7214
1,969,-200,6.5,835,97,859,64,1437,773,22.7,53.7,1458
1.9,1096,-200,8.8,931,228,766,121,1506,1019,24.7,46.4,14206
0.2,787,-200,1.6,549,28,1366,43,1317,596,14.3,61.9,10031
3.4,1483,-200,17.4,1222,318,597,109,2054,1529,17.4,68.9,13557
