Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
07/11/2004,00.00.00,1.9,1072,-200,7.5,880,224,767,80,1318,928,18,60.4,12331
07/10/2004,20.00.00,7,1757,-200,35.7,1680,669,396,117,2280,1959,23.2,54.7,15296
04/02/2005,17.00.00,1.9,1079,-200,8.8,932,312,719,184,1018,1056,11.4,32.6,0.4373
18/07/2004,00.00.00,2.2,1136,-200,10.5,995,132,727,114,1591,1236,25.8,33,10826
22/02/2005,04.00.00,0.4,851,-200,0.5,440,46,1349,46,918,377,3.4,85.4,0.6736
15/12/2004,11.00.00,3.5,-200,-200,-200,-200,809,-200,176,-200,-200,-200,-200,-200
25/07/2004,10.00.00,0.7,908,-200,2.7,632,35,1095,46,1494,500,27,47.4,16661
28/12/2004,21.00.00,-200,1301,-200,12.9,1080,-200,579,-200,1435,1248,11,73.8,0.9677
04/07/2004,16.00.00,0.6,872,-200,4,708,39,1106,56,1331,489,38.9,15.6,10613
05/06/2004,10.00.00,1.1,891,-200,5.3,780,87,1110,68,1543,689,24.1,41.3,12202
07/01/2005,16.00.00,3.8,1432,-200,16.5,1195,625,509,180,1513,1651,13.3,56.2,0.8548
22/06/2004,15.00.00,1.7,1040,-200,11.2,1022,115,826,98,1747,812,31.8,25.6,11868
18/10/2004,16.00.00,-200,1405,-200,22.8,1372,-200,497,-200,1883,1573,20,56.5,13051
22/10/2004,02.00.00,1,975,-200,5.9,807,116,788,57,1423,904,20.3,70.6,16659
14/08/2004,06.00.00,0.5,835,-200,2.6,626,39,1088,41,1471,563,24.7,55.9,17114
23/02/2005,09.00.00,1.9,1033,-200,6.2,820,360,740,198,1114,870,4.3,79.8,0.6706
05/10/2004,19.00.00,-200,1778,-200,41.6,1805,-200,380,-200,2473,2094,25.6,47.5,1539
22/10/2004,04.00.00,-200,930,-200,4.6,741,125,849,48,1392,843,19.6,71.3,1612
16/08/2004,13.00.00,0.9,836,-200,4.6,741,53,1065,60,1277,479,38.6,14.6,0.9821
25/06/2004,17.00.00,2.4,983,-200,13.3,1094,149,817,115,1659,854,35.4,15.3,0.8613
25/07/2004,05.00.00,0.3,834,-200,1.3,527,10,1242,17,1458,427,22.5,69.1,18578
01/11/2004,03.00.00,3,1269,-200,16,1181,-200,559,-200,1756,1762,19.1,75.8,16568
