@relation 'teste 06-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.3,1167,-200,8.2,907,211,681,55,1548,1082,20.6,67.5,1621
5.4,1425,-200,32.3,1605,631,660,220,1920,2321,35.2,16.6,0.9242
0.5,846,-200,3.2,662,-200,1068,-200,1464,633,22.8,50.1,13677
2.1,-200,-200,-200,-200,365,-200,108,-200,-200,-200,-200,-200
-200,902,-200,3.9,706,-200,877,-200,1463,708,22,62.3,16266
-200,861,-200,3,654,-200,995,-200,919,632,6.7,50.7,0.4998
1.7,1146,-200,10.1,983,201,673,71,1518,1136,20.4,66.7,1583
2.4,-200,-200,-200,-200,147,-200,124,-200,-200,-200,-200,-200
1.2,932,-200,4.5,740,167,926,92,1180,774,12.9,69.9,10371
1.1,993,-200,6,813,132,792,57,1413,946,19.9,67.5,15544
5.9,1470,-200,31.4,1584,771,436,195,1641,2033,8.2,36.2,0.3953
4.3,1313,-200,16.9,1206,690,513,144,1469,1546,6.9,75.2,0.7505
2.4,1195,-200,11,1013,355,646,104,1345,1276,14.5,62.3,10216
0.8,988,-200,2.2,596,68,1056,57,1118,541,14.8,63.5,10592
0.8,956,-200,6,813,42,846,59,1544,1094,28,39.8,14803
2.1,1280,-200,11.4,1030,459,597,174,1246,1480,14.9,34.9,0.5869
-200,1138,-200,15.1,1152,164,798,93,1877,1947,27.3,34.3,12284
2.6,901,-200,4.7,747,216,1001,114,1020,657,9.6,52.4,0.6276
-200,1298,-200,16.1,1181,-200,644,-200,1962,1256,20.9,73.3,1787
3.2,1392,-200,15.6,1166,549,519,153,1488,1624,13.4,59.9,0.9143
0.9,900,-200,3.1,659,157,990,121,807,582,8.6,32.8,0.3669
0.5,853,-200,4.1,716,37,994,51,1423,647,22,45.8,11965
2.7,1377,-200,14.2,1123,249,578,94,1716,1223,29.4,42.9,17308
-200,1289,-200,11.6,1037,-200,638,-200,1648,1033,25.4,48.9,1565
3.3,1066,-200,10.7,1004,371,795,127,1384,1006,20.3,35.5,0.833
-200,956,-200,4.4,735,189,915,121,942,945,3.1,53.5,0.4123
2.8,1161,-200,10.5,996,471,639,281,1067,1396,5.6,40.5,0.3704
2.4,1060,-200,13.4,1099,122,742,98,1838,1077,22.5,45.3,12226
1.5,1080,-200,12.3,1059,107,733,123,1622,908,43.1,13.8,11803
-200,905,-200,5.1,766,-200,842,-200,1438,818,22.9,56.2,15522
-200,934,-200,4.6,744,-200,970,-200,1473,870,22.8,63.3,17355
-200,892,-200,4.1,719,-200,918,-200,1019,635,12,44,0.6169
-200,869,-200,2.1,594,103,1326,66,935,835,6.3,64.6,0.6197
-200,1045,-200,3.7,694,168,911,124,1025,805,7.1,66,0.6678
0.6,878,-200,3.8,702,59,949,44,1373,822,18.3,70.8,14794
0.4,903,-200,2.9,648,19,975,21,1559,603,24.1,63.1,18619
0.8,759,-200,3.8,699,140,1223,78,799,501,15.9,18.2,0.3255
0.4,826,-200,0.7,465,50,1322,46,978,433,11.9,61.1,0.8527
1.8,1058,-200,11.3,1026,165,794,132,1622,931,39.9,15.8,1141
1,1049,-200,8.2,907,297,795,145,1038,1209,3.9,55.9,0.4568
1.6,889,-200,9,939,99,920,102,1492,647,30.3,19,0.8103
4.2,1455,-200,22.2,1357,441,466,91,1964,1530,21.6,69.2,1763
2.1,1023,-200,11.8,1042,132,796,101,1711,910,35.4,19.9,11222
-200,763,-200,0.4,428,31,1532,30,757,296,3.9,50.9,0.4144
-200,874,-200,3.3,668,37,1043,54,1513,737,25.3,47.2,15025
1.4,1021,-200,6,811,135,794,52,1502,837,20.2,67.9,15901
0.4,762,-200,1.7,563,12,1181,21,1208,492,21.7,42.6,10907
-200,943,-200,5.7,798,-200,846,-200,1571,743,27.6,45.2,16479
2.9,1197,-200,9.6,964,491,614,254,1260,1122,3.8,84.3,0.6811
3.9,1405,-200,17.5,1224,601,468,270,1503,1658,6.7,74.2,0.7326
0.5,904,-200,1.3,530,79,1079,60,846,438,6.4,50.2,0.485
1.5,1041,-200,6.8,846,351,829,106,1112,1076,5.6,68.9,0.6328
1.9,1046,-200,9.5,960,189,671,96,1637,899,23.7,55.4,16031
-200,934,-200,4.3,730,-200,906,-200,1345,757,14.8,83.8,14005
-200,1463,-200,24.5,1417,512,467,156,1900,1651,26.8,43.3,14977
-200,985,-200,6.6,838,60,850,84,1541,653,34.2,30.8,16299
-200,827,-200,1.9,577,-200,1138,-200,1143,640,19.2,50.3,11087
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1.2,1018,-200,3.7,693,157,868,118,937,683,13.8,32.4,0.5084
6.1,1601,-200,30.7,1568,738,422,132,2111,1729,15,74.4,12593
5.2,-200,-200,-200,-200,453,-200,152,-200,-200,-200,-200,-200
0.5,862,-200,1.4,535,93,1193,67,1020,524,12.5,57.3,0.8269
5.3,1606,-200,30.9,1573,688,419,175,2165,1900,24.9,50,15522
1.5,1012,-200,8.1,904,65,794,79,1653,695,35.2,31.2,17485
2.6,1114,-200,13.5,1101,-200,663,-200,1632,1057,29.6,27.7,11278
3.2,1164,-200,20.3,1306,259,648,198,1886,1218,35.5,19.1,10888
0.6,878,-200,1.2,518,50,1294,42,1149,539,13.8,81.3,12767
-200,1007,-200,10.6,1000,-200,727,-200,1197,1210,11.3,46.5,0.6194
-200,950,-200,4.6,743,-200,841,-200,1377,895,19.3,68.4,1513
-200,1249,-200,18,1239,-200,540,-200,1953,1285,22,59.3,15523
0.6,821,-200,5,766,48,1071,62,1323,457,33.1,16.8,0.8391
-200,1332,-200,10.5,997,345,601,130,1304,1783,9.1,68.7,0.7925
4.6,1568,-200,19.4,1280,741,479,174,1703,1774,16.3,68.7,12596
1.7,1118,-200,8.4,915,393,731,95,1289,1059,9.3,76.9,0.9007
1.5,1071,-200,5.5,787,290,755,170,1146,947,3.8,83.8,0.6771
0.9,812,-200,2.8,640,166,1093,114,716,408,2.6,35.1,0.2618
1.5,846,-200,8.8,930,89,947,104,1467,598,30.2,18,0.7613
0.5,883,-200,1,496,49,1140,46,804,478,6.9,45,0.4499
1.2,1009,-200,2.8,640,151,915,115,996,613,8.4,56.3,0.6227
2.5,1171,-200,13,1083,390,695,96,1758,1276,22.9,59.1,1633
2,1021,-200,5.9,808,224,961,102,1048,1098,7.9,59.2,0.6331
3.8,-200,-200,-200,-200,498,-200,173,-200,-200,-200,-200,-200
0.9,913,-200,4.7,749,54,911,58,1535,742,28,43.4,16162
1.7,-200,-200,-200,-200,294,-200,122,-200,-200,-200,-200,-200
1.9,1100,-200,11.2,1022,492,752,193,1101,1367,12.2,30,0.4245
0.3,667,-200,0.4,429,57,1793,39,790,291,10.7,36,0.4623
1.6,980,-200,9.2,948,-200,888,-200,1702,1028,19.8,53.1,12093
0.4,766,-200,2.4,616,43,1163,43,1306,530,21.5,45.6,11558
2.2,1138,-200,6.9,854,262,735,117,1276,911,13.3,68.2,10356
1.7,-200,-200,-200,-200,183,-200,123,-200,-200,-200,-200,-200
3.5,1216,-200,20.8,1318,218,673,180,2043,1168,30.5,29.5,12635
1.6,1102,-200,6,813,213,764,123,1204,1000,14.1,59.6,0.9563
4,1424,-200,13.2,1090,507,566,176,1351,1896,12.2,61.1,0.8652
2.6,1072,-200,14.1,1120,124,711,100,1838,1045,23.7,46,13346
1.6,1007,-200,5.7,798,253,793,155,942,867,9.3,34.6,0.405
-200,950,-200,7,856,62,881,92,1549,780,28.4,35.8,13665
-200,800,-200,1.5,541,71,1250,58,779,407,6.1,42.6,0.4041
4.1,1491,-200,17.2,1215,878,503,196,1343,2038,4.4,58.8,0.4979
1.4,1039,-200,8.4,917,169,735,77,1467,934,23.5,57.7,16515
0.7,825,-200,4.1,715,35,1062,49,1462,613,20,50.9,11794
-200,830,-200,3.2,662,30,1217,31,1556,704,18.9,67.8,14689
3.5,1239,-200,14.4,1129,121,637,106,1839,1308,28.9,39.1,1537
2.8,1473,-200,11.9,1047,424,522,149,1420,1411,8.7,83.7,0.9423
-200,1696,-200,37.1,1711,-200,383,-200,2464,1823,20.9,62.4,15226
1.1,845,-200,2,582,174,1120,123,719,473,6.3,28.8,0.2772
1.7,1101,-200,7.4,875,65,722,68,1748,927,31.6,43.6,19944
-200,940,-200,5.5,789,-200,917,-200,1473,914,19.5,72,16118
2,-200,-200,-200,-200,289,-200,100,-200,-200,-200,-200,-200
5.2,1523,-200,26.6,1470,702,414,166,1811,1783,11.4,68,0.9166
3,1324,-200,16,1181,360,565,115,1747,1318,27.2,43,15246
-200,1277,-200,12.3,1061,-200,612,-200,1691,1243,20.2,65.6,15368
3.8,-200,-200,-200,-200,532,-200,184,-200,-200,-200,-200,-200
0.6,814,-200,1.3,526,59,1228,56,740,352,8,32.9,0.353
1.7,1032,-200,6.8,848,277,751,71,1266,972,11.4,81.1,10928
1.4,1028,-200,5.2,773,153,877,76,1194,871,11.1,68.2,0.8979
0.8,780,-200,1.8,568,100,1190,57,997,453,11.9,55.5,0.7711
1.6,917,-200,3.9,708,248,972,163,787,670,5,31.1,0.273
