@relation 'teste 04-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.1,877,-200,2.5,618,135,1027,96,830,505,3.1,48.1,0.3722
1.1,999,-200,3.6,690,193,1027,86,1192,707,11.8,80.7,11181
2.4,-200,-200,-200,-200,226,-200,128,-200,-200,-200,-200,-200
5.7,1478,-200,22.2,1357,723,473,178,1652,1639,7.2,78.5,0.803
1.4,1060,-200,5.4,784,314,770,196,1117,941,5.5,79.5,0.7238
1.2,-200,-200,-200,-200,51,-200,63,-200,-200,-200,-200,-200
-200,1134,-200,8.4,914,-200,699,-200,1512,1097,20.6,63.4,1519
0.3,679,-200,0.6,449,42,1666,31,800,314,10.7,36.1,0.4639
1.6,969,-200,6.7,843,354,857,165,1213,821,6.9,86,0.8632
0.5,734,-200,2.3,603,40,1471,48,1303,450,25.9,28.8,0.9475
1.7,1162,-200,10.8,1008,183,658,60,1556,1160,20.9,61.3,14923
0.6,906,-200,4.1,719,-200,1050,-200,1561,612,24.3,48.2,14476
3.6,1252,-200,20.9,1320,451,499,99,2001,1374,20.6,62.3,14915
2.9,1062,-200,16.1,1183,219,794,140,1731,1229,27.2,22.5,0.7962
1.3,1126,-200,5.2,775,236,760,101,1205,1019,11.7,69.8,0.9612
1.5,1035,-200,7.3,868,77,833,86,1653,775,27.7,43.4,15833
-200,947,-200,4.8,751,-200,922,-200,1358,595,36.5,20.8,12446
0.8,961,-200,5.8,801,33,850,44,1683,798,26,54.9,18141
2.1,1235,-200,14.3,1125,241,574,81,1704,1462,24.5,54.5,16514
-200,1063,-200,9.6,964,-200,729,-200,1454,1045,17.4,62.3,12282
-200,877,-200,5.1,769,-200,962,-200,1212,529,22.4,36,0.9621
-200,859,-200,2,581,89,1112,73,829,753,2.7,53.3,0.4006
0.1,1075,-200,8.1,904,44,720,74,1692,777,26.4,52.2,17708
2.2,1259,-200,9.1,944,268,631,111,1267,1622,8.9,70.4,0.8074
2,1073,-200,10.9,1009,206,639,105,1655,955,25.2,50.1,1.58
1.7,1200,-200,11.2,1021,223,678,101,1510,1157,24.6,44.1,13477
4.8,1620,-200,24.7,1420,1098,436,224,1598,1971,5.2,76.2,0.6796
1,1432,-200,15,1150,547,527,204,1393,1818,14,52,0.8288
-200,894,-200,2.7,636,84,1010,56,1308,687,18.2,76.6,15907
3.4,1286,-200,19.6,1286,409,593,179,1728,1449,27.2,30.4,1081
0.8,873,-200,3.8,699,47,999,53,1413,528,36.2,24.1,14235
3.1,1107,-200,17.3,1219,346,683,132,1582,1131,25.1,25.8,0.8065
1.4,996,-200,6.6,841,358,797,122,1127,1005,6.1,76.7,0.7271
0.4,873,-200,0.9,485,78,1305,67,1083,512,10.7,80.7,10377
0.4,939,-200,4.1,718,39,927,53,1395,826,21.3,45.5,11405
2.3,1136,-200,8.2,906,346,729,120,1274,1140,12.6,63.2,0.9209
3.2,1162,-200,15.7,1170,503,618,204,1131,1425,14.1,18.2,0.2908
6.9,1766,-200,37.6,1720,1345,361,245,1881,2515,9.1,53.8,0.6216
2.2,1242,-200,11.2,1022,266,630,83,1641,1139,24.8,56.4,17447
3.7,1489,-200,16.4,1193,670,497,148,1475,1776,8.6,69,0.7732
2.2,1002,-200,10.3,989,279,840,99,1358,1011,17.8,36.5,0.7366
6.8,1592,-200,33.3,1627,936,401,166,1957,1902,10.2,80.4,10003
-200,924,-200,3.3,673,-200,960,-200,1522,520,35,35.5,1962
2.8,1167,-200,11.4,1027,422,610,249,1289,1119,4.8,79,0.6845
0.4,814,-200,0.8,482,57,1426,41,1027,457,14.5,62.9,10335
1.2,951,-200,4.5,737,166,910,106,977,922,4.7,62.3,0.5368
1.4,1055,-200,6.4,831,72,769,53,1686,827,28,52.9,1964
5.9,1463,-200,28.2,1508,650,468,136,2092,1670,20.3,66.7,15656
-200,1078,-200,10.2,987,-200,718,-200,1152,1015,9.3,41.7,0.4884
1.7,1144,-200,8.3,913,89,715,68,1782,972,35.1,38.1,21144
2.4,1126,-200,12.2,1058,168,765,115,1879,1061,27.1,38.8,13705
1,904,-200,5.2,774,98,878,51,1329,805,15.7,76.3,13519
1.6,1091,-200,10.2,987,71,737,104,1711,774,34,30.9,16158
1.9,1082,-200,6.5,834,303,800,107,1207,1057,15.2,58,0.9927
1.5,1094,-200,7,857,289,739,96,1378,903,13.8,85.3,13412
3,1121,-200,17.1,1214,232,707,154,1912,1120,31.4,25.3,11444
-200,1290,-200,13.3,1093,-200,592,-200,1677,1253,21.1,62.8,15481
3.7,1321,-200,17.5,1224,537,543,192,1617,1424,20.3,46.7,10971
2.3,-200,-200,-200,-200,340,-200,208,-200,-200,-200,-200,-200
1,836,-200,4.7,750,43,960,54,1390,484,35.1,25.2,1402
2.6,1222,-200,9.7,966,602,636,238,1134,1322,6.6,44.6,0.4383
0.6,868,-200,2.2,596,-200,1092,-200,1276,579,18.7,73.5,15664
0.6,990,-200,6.2,821,57,848,62,1511,1079,27.5,34.6,12518
0.4,762,-200,1.7,563,12,1181,21,1208,492,21.7,42.6,10907
2.7,1275,-200,12.3,1061,427,593,211,1203,1494,10.4,37.3,0.4708
2.3,1013,-200,11.7,1038,164,793,121,1598,1162,24.3,31,0.9268
3,1269,-200,16,1181,-200,559,-200,1756,1762,19.1,75.8,16568
0.6,914,-200,4.3,725,38,949,49,1550,780,21.2,56.8,14094
0.9,816,-200,4.5,739,102,999,55,1188,793,12.5,63.2,0.9146
2.2,1048,-200,9.9,973,346,731,148,1298,1074,10.5,70.3,0.893
1.4,1011,-200,5.4,783,255,835,118,1013,1026,3.9,67.1,0.5483
1,805,-200,4.5,740,41,1161,12,1117,565,19.8,31.1,0.7104
4,1509,-200,25.4,1439,1080,459,199,1577,2078,8.5,52.6,0.5856
3.5,1333,-200,16.7,1201,353,552,68,1767,1925,19.6,73.2,16543
5.3,1502,-200,29.8,1546,337,538,223,2199,1919,35.6,20.4,11646
2.7,1182,-200,10.4,994,584,654,102,1431,1039,12.2,85.1,12079
-200,828,-200,1.1,506,75,1222,73,945,673,4.8,75.7,0.659
-200,971,-200,6.9,851,-200,808,-200,1389,876,14.6,79,13082
1.4,991,-200,4.6,744,187,863,95,1069,949,7,73.6,0.7417
1.7,1031,-200,9.5,958,201,700,121,1560,1074,26.6,39.9,13657
