@relation 'teste 10-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
4.2,1388,-200,24.5,1418,287,568,226,2250,1913,38.8,24.2,16433
2.7,1183,-200,8.8,930,317,669,112,1210,1179,7.6,73,0.7629
0.6,810,-200,2.2,597,-200,1255,-200,1106,361,32.2,20.5,0.9699
1.5,1032,-200,9.9,974,66,763,77,1800,982,26.2,49.4,16555
4.1,1128,-200,15.4,1161,480,672,174,1163,1340,5.9,37.8,0.3528
1.5,962,-200,5.4,785,286,993,103,1161,870,15.5,51.7,0.9033
1.8,962,-200,7.5,877,413,841,120,969,949,9.3,37.6,0.4391
2.5,1187,-200,9.8,970,477,625,199,1174,1203,8.4,44.6,0.4922
1.5,1043,-200,5.9,805,-200,798,-200,1155,992,9.1,72.9,0.8429
0.7,825,-200,4.2,720,38,1129,55,1511,678,21,51.9,12794
-200,930,-200,5.2,772,-200,854,-200,1613,728,23.7,56.5,16341
1.4,1049,-200,5.5,790,221,870,96,1183,1019,15.4,58.9,1.02
1.5,1221,-200,12.3,1061,163,619,76,1615,1178,24.6,52.2,15951
-200,1088,-200,6.6,839,-200,760,-200,1236,951,9.7,73.1,0.8772
5.9,1463,-200,28.2,1508,650,468,136,2092,1670,20.3,66.7,15656
-200,768,-200,2.1,591,24,1183,37,1402,606,20.8,50.3,12207
1.2,1074,-200,5.1,767,143,814,58,1489,796,24.3,61.6,18468
2.6,1026,-200,13.3,1094,278,769,134,1629,1224,31.3,19.1,0.8634
-200,843,-200,4.3,729,-200,990,-200,1219,618,15.5,57.1,0.9971
1,909,-200,2.7,636,182,992,104,947,720,7.5,55.3,0.5734
1,925,-200,3.4,677,151,958,105,901,1024,3.2,58.8,0.4578
1.9,1033,-200,10.9,1011,89,681,93,1768,875,26.3,51.3,17251
2.6,-200,-200,-200,-200,143,-200,90,-200,-200,-200,-200,-200
5.7,1606,-200,31.2,1578,665,440,81,2205,1786,19.4,66.5,14801
2.8,1251,-200,18.8,1264,282,582,104,1897,1393,23.7,54.4,15765
2.7,1190,-200,10.6,1000,485,624,202,1152,1280,7.7,42.1,0.444
1.7,1005,-200,8.3,910,109,881,84,1670,751,28.4,34.4,1314
4.6,1390,-200,24.4,1414,455,487,117,1959,1428,23.3,53.1,1496
2.5,1226,-200,15.3,1157,133,683,141,1912,1041,37.2,25.6,16014
1.2,-200,-200,-200,-200,54,-200,65,-200,-200,-200,-200,-200
0.8,848,-200,1.9,578,120,1160,68,1068,679,13.2,62.5,0.943
3,1200,-200,18.2,1246,553,798,136,1574,1416,19.7,37.5,0.8501
3.5,1351,-200,20,1298,565,498,111,1821,1577,20,63.9,14805
1,1004,-200,8.5,918,294,752,177,1033,990,5.1,43,0.3821
2.4,1114,-200,15.8,1174,172,667,102,1819,1188,20.5,47.7,11419
2.1,1157,-200,9.7,967,421,678,124,1365,1087,14.9,64.1,10773
3,1190,-200,15.9,1177,168,695,128,1934,1046,30.3,30.8,13044
3.7,1385,-200,18.7,1260,493,528,129,1850,1425,22.3,64.3,17055
3.1,1202,-200,15.4,1160,455,585,102,1723,1165,16.9,79.9,15253
1,-200,-200,-200,-200,212,-200,81,-200,-200,-200,-200,-200
3.4,1347,-200,13,1084,560,582,174,1290,2004,8.3,58.2,0.6391
3.4,1374,-200,17.4,1222,602,516,160,1582,1671,13.7,66.8,10432
3.1,1365,-200,16.4,1192,340,492,128,1593,1486,13.8,66.4,10451
1.6,1106,-200,8.6,924,58,725,62,1757,910,30.7,48.1,20821
3.7,1407,-200,17.8,1235,338,548,77,1780,2519,20.1,71.1,16498
-200,1048,-200,3.3,672,-200,1050,-200,1438,556,25.4,59.9,19168
6.1,1458,-200,20.4,1307,706,497,165,1483,2103,6.1,60.5,0.5719
1.7,988,-200,7.2,865,268,876,102,1190,895,15.6,46.6,0.8176
1.5,975,-200,7,859,177,777,81,1043,1019,4.2,69,0.5737
4.7,1339,-200,22.8,1373,536,541,165,1797,1585,21.6,43.3,11019
3.4,1412,-200,17.7,1230,454,516,141,1672,1534,22,54.2,14096
1.2,940,-200,6.2,823,112,891,64,1415,853,19.6,56.6,12797
0.5,920,-200,1.1,506,61,1142,56,905,453,7.8,55.7,0.5914
1.5,1037,-200,8.1,902,196,704,48,1481,984,17.5,76.6,15174
0.6,824,-200,3.5,683,34,1119,42,1270,393,38.1,18.5,12141
1.3,943,-200,5.3,777,-200,880,-200,1333,632,29.2,28.6,11423
-200,1109,-200,6.7,843,-200,769,-200,1458,743,27.1,43.3,15255
3,1305,-200,18.2,1245,529,524,108,1742,1539,19.3,66.2,14706
1,932,-200,2.7,630,147,980,117,842,681,7.1,39.6,0.4001
-200,826,-200,2.7,631,-200,1072,-200,1280,752,17.8,69.8,14058
1.3,932,-200,3.5,685,186,996,130,820,670,4,39,0.3203
1,962,-200,5.3,778,35,929,44,1645,726,23.3,59.4,16753
2.6,1127,-200,9.6,962,345,751,125,1120,1389,10.6,51.2,0.6541
3.9,1201,-200,16.5,1196,573,597,187,1546,1196,11.6,76,10354
2.1,1222,-200,15.4,1161,173,661,122,1827,1593,30.2,30.9,13026
1,866,-200,3,652,143,1060,98,857,573,11.9,30.8,0.4285
4.4,1423,-200,25,1429,649,467,88,1998,1631,16.3,74.3,13644
0.6,823,-200,1,503,60,1268,56,755,332,4,51,0.42
-200,1527,-200,24.6,1419,-200,476,-200,1966,1507,28.7,37.3,14486
1.5,884,-200,6.2,822,300,909,110,968,807,17.1,23.5,0.453
-200,1289,-200,11.6,1037,-200,638,-200,1648,1033,25.4,48.9,1565
1.5,1073,-200,6.6,838,178,768,63,1549,892,20.7,68.4,16507
1.2,988,-200,6,813,52,927,61,1596,596,33.4,27.8,14119
-200,795,-200,1,494,-200,1398,-200,1353,400,28.9,48.4,18982
1.4,981,-200,8.6,923,228,730,54,1425,956,15.7,77,13591
1.6,961,-200,7.6,881,337,932,95,1417,901,22,47,12259
5.5,1609,-200,18.1,1243,602,505,178,1491,2100,11.4,62.9,0.8454
1.1,937,-200,2.6,625,142,977,120,983,798,5.1,74.5,0.6626
2.3,1045,-200,9.5,960,301,1376,118,1259,972,14.6,48,0.7902
2.8,1017,-200,11.7,1039,457,769,161,1149,1024,18.1,21,0.4321
0.5,1297,-200,11.5,1032,388,605,126,1297,1300,7,77.8,0.7848
3.3,1507,-200,15.7,1170,574,488,224,1392,1999,11,51.4,0.6725
-200,1024,-200,4.9,757,-200,923,-200,1423,908,20.6,59.8,1435
8.7,1882,-200,47.5,1920,1014,328,171,2609,2204,23.1,61.1,17082
1.2,1031,-200,7.3,871,147,950,96,1393,972,25.2,38.1,12049
0.7,827,-200,2.7,636,88,1485,59,980,483,13.7,45,0.6991
4.1,1407,-200,19.8,1292,679,643,155,1638,1694,16.9,54.2,10371
3,1205,-200,13.4,1098,460,610,172,1170,1587,6,53.3,0.5008
4.9,1529,-200,29,1526,300,476,149,2559,1763,27.4,45.5,16396
0.9,889,-200,2.9,646,131,2047,70,1163,743,12,77.4,10825
2.2,1050,-200,9.4,956,456,725,89,1162,1025,4.3,85.4,0.7152
4.2,1317,-200,19,1269,905,554,205,1446,1679,14.7,38.9,0.6462
2.1,1108,-200,12,1049,206,749,142,1701,1137,32.8,25.2,12325
2.3,1286,-200,9.1,942,343,687,137,1362,1103,13.5,67.1,10357
0.4,910,-200,2.7,630,29,1061,35,1504,468,25.1,62.4,19602
2.7,1189,-200,15.6,1167,391,599,114,1541,1315,18.7,53,11322
1.1,845,-200,2,582,174,1120,123,719,473,6.3,28.8,0.2772
2.6,1072,-200,14.1,1120,124,711,100,1838,1045,23.7,46,13346
1,854,-200,5,764,88,932,76,1476,922,19.3,51.4,11387
3.5,1183,-200,14.2,1122,464,897,143,1476,1215,12.6,62,0.9027
0.7,880,-200,2.4,613,-200,1016,-200,878,968,3.3,57.7,0.4516
1.2,-200,-200,-200,-200,56,-200,68,-200,-200,-200,-200,-200
0.5,875,-200,5.6,795,160,928,101,965,932,3.1,56.3,0.4368
2.4,1358,-200,14.3,1128,434,545,170,1344,1611,14.7,37.2,0.618
0.9,919,-200,4,711,189,1667,74,1195,819,12.4,75.3,10813
