Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
20/12/2004,12.00.00,2.5,918,-200,4.5,737,220,1007,105,1030,703,9.6,53.9,0.6425
16/01/2005,14.00.00,0.8,819,-200,1.9,576,114,1142,85,809,492,11.4,32,0.431
26/11/2004,03.00.00,1.5,1043,-200,5.9,805,-200,798,-200,1155,992,9.1,72.9,0.8429
25/08/2004,21.00.00,1.3,872,-200,6.3,824,66,853,77,1346,590,27,30,10542
28/01/2005,16.00.00,1.3,891,-200,3.9,706,193,949,138,860,600,3.4,50.7,0.3991
10/06/2004,16.00.00,2.4,1157,-200,13.6,1105,139,779,139,1792,982,40,18.8,1363
19/11/2004,12.00.00,2.8,1203,-200,11.8,1043,428,617,202,1470,1217,17.6,52.2,10396
27/01/2005,12.00.00,1,887,-200,3,649,166,1009,104,854,588,6.6,40.2,0.3944
06/11/2004,17.00.00,3.6,1416,-200,19.5,1283,474,510,113,1739,1442,20.8,58.7,14259
25/02/2005,05.00.00,0.8,932,-200,2.1,595,120,991,100,1025,771,5,82.8,0.7273
09/12/2004,13.00.00,1.6,969,-200,6,812,259,989,100,1189,842,14.9,53.4,0.8998
06/02/2005,16.00.00,1,904,-200,2.7,633,138,1040,100,789,410,10.2,28.3,0.3516
09/11/2004,20.00.00,4.7,1237,-200,16.5,1194,-200,615,-200,1508,1193,8.8,76.6,0.8678
21/07/2004,02.00.00,-200,1026,-200,5.8,801,45,816,63,1545,1094,25.8,43.1,14113
08/12/2004,21.00.00,3.5,1210,-200,9.2,947,457,697,121,1404,1060,13.9,76.7,12098
16/02/2005,01.00.00,2.5,1195,-200,10.7,1004,387,652,193,1078,1421,5.2,44.2,0.3943
01/08/2004,16.00.00,0.9,908,-200,4.7,748,69,1020,92,1373,451,39.7,19.1,13646
