@relation 'teste 03-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
2.1,1014,-200,10.9,1012,156,795,125,1548,851,34.4,19.9,10647
2.4,1178,-200,7.2,866,390,700,128,1342,1094,11.8,82.7,11381
4.1,1292,-200,13,1085,577,620,132,1438,1390,10.3,75.1,0.9399
-200,890,-200,3.2,666,-200,969,-200,1323,728,18.9,68.6,14818
1.2,893,-200,3.8,701,185,935,84,1045,844,6.4,74,0.7134
2.8,1270,-200,13.4,1098,558,572,123,1420,1463,10,83.6,10235
1.2,-200,-200,-200,-200,53,-200,64,-200,-200,-200,-200,-200
3,1400,-200,17.7,1230,362,519,102,1864,1483,26.5,52.2,17769
1.9,992,-200,6.9,853,323,821,111,1052,1038,4,69,0.5661
0.8,746,-200,3.5,684,149,1301,81,764,484,13.2,18.8,0.2837
0.7,827,-200,3.1,659,33,1115,46,1552,616,16.8,77.4,14739
2.5,1239,-200,14.3,1127,134,648,120,1930,1201,26.8,45.1,15645
-200,1103,-200,10,979,-200,666,-200,1520,1156,19.5,69.7,15596
1.9,1222,-200,7.5,880,269,684,173,1083,1367,9.4,44.7,0.5279
1.5,818,-200,4.3,725,246,1065,127,849,694,6.4,35.8,0.3471
1.6,958,-200,9,940,-200,820,-200,1380,728,32.4,19.4,0.9279
4.7,1472,-200,16.6,1198,832,555,191,1344,1735,9,51.8,0.5961
3.2,1316,-200,18.5,1253,521,527,77,1780,1566,16,76.3,13772
-200,1297,-200,17.8,1233,-200,544,-200,2129,1248,27.1,54.4,19206
2,966,-200,14.4,1131,200,800,127,1612,968,35.7,13.6,0.7836
5.2,-200,-200,-200,-200,453,-200,152,-200,-200,-200,-200,-200
3.9,1436,-200,20.1,1299,581,451,159,1616,1621,13.6,58.9,0.9139
3.3,1304,-200,13,1085,467,571,129,1385,1419,9.5,71.3,0.8458
2.5,1164,-200,13.4,1096,403,662,136,1311,1261,16.8,37.6,0.7129
2.3,1142,-200,13.8,1109,140,782,133,1789,1047,40.4,17.2,12774
2.3,1160,-200,12.6,1070,110,687,112,1929,1192,29.3,45.8,18362
1.5,915,-200,6.5,834,168,1006,66,1243,686,19.1,37,0.8104
3.7,1258,-200,19.1,1272,454,541,77,1804,1325,19.3,70.8,15728
2.7,1118,-200,7.1,863,326,680,208,1194,1083,5.6,74,0.6808
1.3,1158,-200,8.6,923,142,673,62,1519,1072,21.9,61.5,15967
3.1,1321,-200,15.9,1178,381,552,182,1539,1491,18.4,49.6,10391
1.6,1046,-200,8,901,69,849,94,1464,722,37.4,17,10757
3.4,1257,-200,17.6,1227,308,611,162,1954,1608,26.7,39.4,13556
1.5,945,-200,7.6,883,132,837,94,1563,1015,19.8,47.7,1093
1.1,930,-200,5.7,796,135,883,85,1263,977,18.6,49.1,10435
3.6,-200,-200,-200,-200,484,-200,137,-200,-200,-200,-200,-200
4,1123,-200,13.8,1110,575,732,185,1152,1322,6.3,42.6,0.4106
