@relation 'teste 08-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
3,1326,-200,16.9,1206,317,533,111,1785,1432,25.4,50.8,16275
1,884,-200,5,764,110,921,75,1247,900,14.9,58.9,0.9891
1.5,954,-200,7,855,89,792,94,1474,745,25.2,40.8,12877
3,1281,-200,12.1,1053,510,659,165,1192,1438,10.9,39.7,0.5166
1.5,1011,-200,4.3,725,189,852,142,1050,773,4.2,78.2,0.6506
3.2,1264,-200,14.7,1138,412,579,86,1733,1245,20.4,71.6,17004
2.1,1029,-200,10.4,993,124,816,114,1728,969,23,44.4,12354
1.4,1055,-200,5.4,782,231,798,161,940,1377,5.1,45.6,0.4056
2,1073,-200,10.9,1009,206,639,105,1655,955,25.2,50.1,1.58
1.7,1027,-200,8.8,933,224,806,85,1465,1050,22.2,48,12678
1.9,-200,-200,-200,-200,156,-200,123,-200,-200,-200,-200,-200
1,976,-200,5.3,780,-200,795,-200,1467,898,22.5,53.6,14422
0.6,839,-200,3.4,678,-200,1062,-200,1478,622,22.9,50.2,13808
1.9,949,-200,12.6,1069,144,819,106,1547,905,35.1,15,0.8381
0.5,923,-200,1.8,567,66,994,62,1024,688,8.3,67.2,0.7382
1.6,1091,-200,10.2,987,71,737,104,1711,774,34,30.9,16158
1.6,1027,-200,8,899,132,822,116,1563,810,31.1,29.6,1318
-200,847,-200,1,502,-200,1198,-200,1020,508,9,75.8,0.8721
1.8,963,-200,7.7,887,268,853,112,1311,938,18.7,39.7,0.8482
0.5,813,-200,4.4,732,41,1118,59,1303,427,32.4,18,0.8599
1,947,-200,3.2,666,159,985,68,1115,795,12.8,66.3,0.9804
3.3,1228,-200,15.7,1170,567,596,153,1375,1332,12.6,54,0.784
1,858,-200,5.3,776,43,947,56,1431,498,38.1,21.1,13863
8.3,1623,-200,29.8,1547,832,414,188,2040,1883,16.2,62.6,11455
0.3,834,-200,1.3,527,10,1242,17,1458,427,22.5,69.1,18578
1.8,1014,-200,9.4,954,118,865,103,1697,818,29.4,32.9,13244
3.3,1219,-200,12.9,1081,378,590,200,1246,1244,7.4,47.2,0.4871
2.1,901,-200,6.7,843,309,1061,121,907,751,9.8,30.3,0.3658
6.8,-200,-200,-200,-200,649,-200,170,-200,-200,-200,-200,-200
2.6,1058,-200,9.6,962,397,778,132,1058,1153,6,47.6,0.4488
-200,1282,-200,13.7,1107,-200,682,-200,1791,1116,29.9,45.6,18942
2.7,1314,-200,12.6,1069,471,571,216,1271,1662,8.3,57.6,0.6304
1,911,-200,2.4,613,148,992,82,934,861,2.4,71.9,0.5288
0.9,988,-200,4,709,178,897,82,1267,785,13.8,85.5,13469
6.2,1664,-200,36.6,1699,685,385,134,2305,2062,22.2,61,16071
0.5,847,-200,2.5,620,84,1085,58,1339,670,22.9,57.5,15879
-200,863,-200,4.4,732,-200,970,-200,1207,724,14.9,57.1,0.9581
4.4,1287,-200,24.7,1423,311,610,116,2319,1482,20.9,49.3,12049
-200,1108,-200,12,1051,-200,640,-200,1616,1199,28.7,38.2,14794
1.9,1193,-200,13,1085,146,610,110,1947,1097,25.7,58.9,19156
-200,1195,-200,11.3,1026,-200,637,-200,1342,1150,12,60.8,0.852
4.2,1440,-200,20.5,1311,815,482,183,1476,2022,9.3,54.5,0.6415
1.6,1063,-200,7.9,894,104,823,100,1688,1025,27.2,41.1,14611
8.7,1615,-200,37.2,1712,1230,384,225,1811,2312,7.8,48.1,0.5115
4,1276,-200,21.6,1340,450,597,188,1677,1303,27.2,26.3,0.9317
0.6,843,-200,3.1,656,55,1042,50,1271,665,22.1,49.8,13094
1.9,1054,-200,5.5,789,241,886,100,1254,864,14.2,71.7,11578
3.4,1325,-200,14.7,1140,583,542,126,1403,1468,6.8,77.9,0.7756
2.6,1083,-200,13.3,1094,-200,706,-200,1537,926,29.6,24.3,0.9889
-200,1121,-200,10.3,989,108,659,97,1821,955,28.8,48.8,19039
-200,934,-200,2.3,609,70,976,55,1094,581,13.7,61.1,0.9537
-200,924,-200,5.1,766,-200,902,-200,1357,752,18.6,60.4,12817
2,1004,-200,10.9,1011,108,867,116,1754,893,24.6,41.9,12752
0.2,806,-200,2.3,605,74,1366,68,1132,725,21.4,35.7,0.8982
1,934,-200,6,811,75,896,86,1343,553,33.8,22.8,11781
0.2,676,-200,0.4,429,-200,1750,-200,803,296,11,37.3,0.488
2.4,1157,-200,16.1,1183,133,738,111,1970,1079,26.6,37.9,12994
2.2,1107,-200,12.9,1080,167,714,138,1675,1348,30.9,26.9,11835
