Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
09/02/2005,08.00.00,1.7,-200,-200,-200,-200,394,-200,231,-200,-200,-200,-200,-200
12/02/2005,08.00.00,2.3,1321,-200,11.9,1046,496,562,224,1263,1610,6,62.8,0.5929
06/10/2004,07.00.00,-200,1433,-200,24.2,1409,-200,506,-200,1972,1439,17.6,70.5,14057
07/06/2004,16.00.00,2.3,1022,-200,15.2,1155,172,871,113,1840,979,34.3,19.4,10279
01/10/2004,07.00.00,2.9,1348,-200,17.2,1217,392,559,91,1816,1413,20.2,66.3,1555
25/02/2005,21.00.00,2.3,1059,-200,8.1,905,356,735,179,1098,1130,7.3,52.8,0.5404
02/06/2004,00.00.00,0.8,1021,-200,9.2,949,95,927,57,1764,977,19.5,68,15269
22/01/2005,00.00.00,2.6,1535,-200,20.1,1300,977,483,223,1524,1725,7.3,76.8,0.7904
22/01/2005,11.00.00,1.5,1439,-200,16.6,1198,628,502,246,1426,1877,11.6,59.8,0.8152
10/10/2004,04.00.00,-200,941,-200,3.6,686,50,942,38,1406,549,22.8,64,17507
18/11/2004,02.00.00,2,987,-200,5.6,794,225,852,119,1106,971,8.5,65,0.7221
26/07/2004,00.00.00,1.5,1007,-200,5.9,809,81,876,93,1611,770,26.6,47.2,1616
08/02/2005,10.00.00,2.2,1114,-200,8.6,922,410,689,225,1022,1223,8.7,36.3,0.4074
07/12/2004,10.00.00,3.3,1322,-200,17.3,1219,574,682,130,1591,1472,14.5,61.1,10007
22/01/2005,06.00.00,0.4,1288,-200,11.6,1036,582,590,183,1242,1413,5.2,81.4,0.7276
18/07/2004,13.00.00,0.3,928,-200,4.1,716,39,1060,57,1252,459,39.4,13.7,0.9639
27/06/2004,04.00.00,0.8,869,-200,4.2,723,34,975,45,1522,789,23.2,52.3,14668
20/09/2004,19.00.00,6.5,1476,-200,34.9,1663,681,473,225,2167,1785,28.1,32.4,12173
10/01/2005,04.00.00,0.6,960,-200,1.3,532,66,1059,60,1122,724,12.9,70.4,10444
08/06/2004,08.00.00,5.8,1377,-200,36.1,1688,376,525,125,2746,1708,21.6,51.7,1313
15/09/2004,13.00.00,-200,1289,-200,17.2,1217,-200,599,-200,1975,1374,24.1,65.5,19371
13/06/2004,03.00.00,0.6,906,-200,4.1,719,-200,1050,-200,1561,612,24.3,48.2,14476
29/08/2004,21.00.00,-200,1062,-200,8.6,923,-200,697,-200,1602,839,27,43,15118
15/12/2004,06.00.00,1,-200,-200,-200,-200,244,-200,82,-200,-200,-200,-200,-200
13/11/2004,05.00.00,1,907,-200,3.7,691,111,927,71,1173,702,15.8,59.9,10693
08/01/2005,10.00.00,3,1219,-200,11.3,1026,462,604,133,1311,1329,8.9,66.7,0.7634
22/09/2004,14.00.00,2.2,1132,-200,12.1,1052,233,680,117,1609,944,28.5,37.3,14291
05/08/2004,18.00.00,-200,1113,-200,9.4,954,117,682,99,1801,899,21.6,78.5,1994
20/07/2004,01.00.00,-200,1015,-200,6.8,850,57,802,79,1531,1173,27.2,36.9,13147
14/06/2004,17.00.00,2.7,1072,-200,12.2,1057,150,812,92,1820,885,24.2,39.2,11665
21/01/2005,12.00.00,4.5,1522,-200,22.5,1365,841,464,189,1526,2104,10.2,53.1,0.6608
11/10/2004,12.00.00,2.7,1225,-200,15.2,1155,379,607,91,1738,1159,21.1,64,15795
10/08/2004,15.00.00,1.1,1013,-200,7.2,864,59,819,75,1544,644,40.5,23.3,17416
09/09/2004,08.00.00,3.2,1289,-200,21.4,1335,542,724,130,1681,1521,21,35.6,0.8736
15/10/2004,21.00.00,-200,924,-200,5.1,766,-200,902,-200,1357,752,18.6,60.4,12817
